id,nItems,mostFreqStore,mostFreqCat,nCats,preferredBrand,nBrands,nPurch,salesLast3Mon,daysSinceLastPurch,meanItemPrice,meanShoppingCartValue,customerDuration
219,58,Orlando,Shoes,27,Bo,38,11,1069.06,6,18.4320689655172,97.1872727272727,357
220,652,Seattle,Alcohol,54,Nilima,213,28,2301.1,4,3.52929447852761,82.1821428571428,761
221,183,Orlando,Packaged food,34,Bo,72,20,1330.91,4,7.27273224043716,66.5455,772
222,178,Honolulu,Shoes,38,Bo,81,23,1399.49,6,7.86230337078652,60.8473913043478,835
223,155,Columbus,Alcohol,43,Bo,76,27,1332.63,2,8.59761290322581,49.3566666666667,851
224,90,Orlando,Frozen food,20,Medeia,33,20,1223.58,4,13.5953333333333,61.179,757
225,45,San Diego,Fresh food,20,Bo,27,6,831.14,36,18.4697777777778,138.523333333333,874
226,163,Honolulu,Alcohol,30,Bo,68,31,1384.6,1,8.49447852760736,44.6645161290323,585
227,124,Seattle,Shoes,30,Nilima,62,20,1283.21,2,10.3484677419355,64.1605,683
228,205,Orlando,Fresh food,42,Bo,90,16,1459.43,4,7.11917073170732,91.214375,848
229,97,Columbus,Baby,32,Bo,54,11,1036.68,4,10.6874226804124,94.2436363636364,596
230,271,Jersey,Shoes,44,Medeia,115,27,1499.04,4,5.53151291512915,55.52,614
231,249,Denver,Shoes,47,Bo,96,21,1544.25,1,6.20180722891566,73.5357142857143,611
232,173,Columbus,Shoes,33,Bo,79,24,1383.84,1,7.99907514450867,57.66,546
233,239,Seattle,Bakery,45,Bo,107,44,1604.71,1,6.71426778242678,36.4706818181818,629
235,92,Columbus,Alcohol,33,Bo,46,32,938.94,1,10.2058695652174,29.341875,620
236,64,Boston,Shoes,30,Bo,36,15,866.16,24,13.53375,57.744,451
237,204,Jersey,Frozen food,49,Bo,114,28,1593.93,1,7.81338235294118,56.9260714285714,937
238,153,Columbus,Baby,33,Bo,59,14,1269.78,6,8.29921568627451,90.6985714285714,907
239,155,Honolulu,Baby,39,Bo,76,14,1296.07,3,8.36174193548387,92.5764285714286,636
240,351,Seattle,Alcohol,53,Bo,183,21,1966.83,3,5.60350427350427,93.6585714285714,920
241,312,Boston,Bakery,46,Veina,132,25,2019.04,1,6.47128205128205,80.7616,811
242,146,Colorado Springs,Baby,34,Bo,70,27,1302.39,2,8.9204794520548,48.2366666666667,831
243,7,Columbus,Baby,5,Veina,6,2,497.34,25,71.0485714285714,248.67,684
244,287,Columbus,Packaged food,49,Bo,118,40,1573.48,4,5.48250871080139,39.337,525
245,282,Seattle,Frozen food,47,Medeia,84,23,1615.37,5,5.72826241134752,70.2334782608696,575
246,233,Columbus,Shoes,49,Veina,114,29,1534,3,6.58369098712446,52.8965517241379,605
247,306,Orlando,Pets,47,Bo,115,23,1612.08,7,5.26823529411765,70.0904347826087,951
248,117,Boston,Packaged food,45,Bo,82,22,1211.89,4,10.3580341880342,55.0859090909091,651
249,472,Honolulu,Alcohol,44,Tanvi,114,17,1911.37,3,4.04951271186441,112.433529411765,902
250,83,Boston,Alcohol,31,Nilima,55,7,1127.35,19,13.5825301204819,161.05,584
253,88,Orlando,Packaged food,29,Bo,56,27,1116.75,1,12.6903409090909,41.3611111111111,642
254,247,Columbus,Baby,48,Bo,78,60,1500.11,1,6.07331983805668,25.0018333333333,778
255,180,Boston,Alcohol,34,Tanvi,80,9,1431.37,8,7.95205555555555,159.041111111111,689
256,295,Seattle,Alcohol,43,Nilima,100,28,1484.11,2,5.0308813559322,53.0039285714286,630
257,258,Honolulu,Alcohol,46,Bo,93,37,1523.51,4,5.90507751937985,41.1759459459459,545
258,143,Colorado Springs,Baby,34,Veina,58,32,1285.01,3,8.98608391608392,40.1565625,720
259,12,Denver,Frozen food,9,Veina,10,5,611.92,18,50.9933333333333,122.384,374
260,101,Seattle,Alcohol,32,Bo,62,8,1116.7,10,11.0564356435644,139.5875,356
261,186,Boston,Shoes,39,Veina,80,46,1453.47,1,7.81435483870968,31.5971739130435,737
262,175,Orlando,Frozen food,35,Bo,89,35,1261.79,2,7.21022857142857,36.0511428571429,699
263,192,Columbus,Baby,40,Bo,88,19,1449.79,1,7.55098958333333,76.3047368421053,611
264,66,Colorado Springs,Bakery,26,Bo,43,17,991.94,7,15.0293939393939,58.3494117647059,862
265,158,Columbus,Beverages,36,Bo,82,13,1231.35,7,7.79335443037975,94.7192307692308,815
266,16,Columbus,Baby,12,Bo,10,6,552.97,7,34.560625,92.1616666666667,638
267,59,Denver,Alcohol,25,Veina,39,10,915.6,4,15.5186440677966,91.56,671
268,410,Seattle,Baby,58,Bo,180,43,1852.29,3,4.51778048780488,43.076511627907,927
269,16,Orlando,Clothes,9,Veina,8,8,685.13,3,42.820625,85.64125,771
270,338,Boston,Alcohol,52,Bo,128,14,1538.23,6,4.55097633136095,109.873571428571,700
271,79,Columbus,Packaged food,27,Bo,33,19,959.56,14,12.1463291139241,50.5031578947368,655
272,78,Columbus,Clothes,32,Bo,43,16,974.06,3,12.4879487179487,60.87875,932
273,376,Columbus,Baby,59,Bo,176,44,1806.32,1,4.80404255319149,41.0527272727273,559
274,537,Seattle,Pets,53,Bo,158,42,1904.91,1,3.54731843575419,45.355,692
275,44,Colorado Springs,Bakery,20,Veina,31,12,799.99,19,18.1815909090909,66.6658333333333,474
276,88,Seattle,Alcohol,33,Nilima,52,13,1046.42,3,11.8911363636364,80.4938461538462,718
277,116,Columbus,Packaged food,19,Nilima,34,16,1287.37,3,11.0980172413793,80.460625,683
278,42,Colorado Springs,Baby,21,Moone,25,9,579.19,2,13.7902380952381,64.3544444444445,760
279,91,Colorado Springs,Alcohol,31,Bo,52,12,1100.45,4,12.0928571428571,91.7041666666667,504
280,55,Seattle,Fresh food,21,Nilima,37,4,910.31,45,16.5510909090909,227.5775,736
281,118,Honolulu,Packaged food,25,Bo,40,7,1276.31,5,10.816186440678,182.33,728
282,377,Seattle,Alcohol,49,Bo,138,32,1823.22,6,4.83612732095491,56.975625,366
283,284,Jersey,Baby,52,Veina,135,20,1819.04,6,6.40507042253521,90.952,697
284,484,Honolulu,Alcohol,59,Bo,198,19,1941.16,7,4.01066115702479,102.166315789474,431
285,162,Colorado Springs,Frozen food,38,Bo,100,11,1430.91,4,8.83277777777778,130.082727272727,565
286,147,Orlando,Alcohol,33,Nilima,79,22,1274.5,2,8.67006802721088,57.9318181818182,434
287,234,Boston,Frozen food,39,Bo,91,24,1480.29,1,6.32602564102564,61.67875,792
288,190,Boston,Pets,42,Bo,103,17,1556.06,10,8.18978947368421,91.5329411764706,646
289,331,Boston,Shoes,54,Bo,121,24,1576.59,3,4.76311178247734,65.69125,739
290,234,San Diego,Beverages,51,Bo,121,27,1606.81,21,6.8667094017094,59.5114814814815,403
291,370,Orlando,Shoes,54,Bo,118,12,1744.08,1,4.71372972972973,145.34,776
292,48,Boston,Shoes,22,Bo,34,4,973.76,5,20.2866666666667,243.44,412
293,235,Columbus,Alcohol,49,Bo,121,13,1503.09,1,6.39612765957447,115.622307692308,418
294,303,Orlando,Alcohol,48,Bo,129,41,1426.41,1,4.70762376237624,34.790487804878,645
295,338,Denver,Frozen food,48,Bo,152,29,1689.51,1,4.99855029585799,58.2589655172414,777
296,200,Boston,Shoes,43,Bo,75,26,1555.05,3,7.77525,59.8096153846154,654
297,447,Boston,Alcohol,49,Bo,120,13,1827.17,3,4.08762863534676,140.551538461538,628
298,163,San Diego,Alcohol,29,Veina,56,32,1233.18,1,7.56552147239264,38.536875,659
299,262,Seattle,Alcohol,45,Bo,133,26,1613.73,3,6.15927480916031,62.0665384615385,863
300,216,Seattle,Frozen food,46,Bo,105,16,1375.66,3,6.3687962962963,85.97875,742
301,256,Seattle,Shoes,43,Bo,113,23,1577.87,3,6.1635546875,68.6030434782609,897
302,58,Honolulu,Frozen food,29,Bo,38,7,942.08,4,16.2427586206897,134.582857142857,702
303,445,Orlando,Clothes,45,Nilima,141,23,1937.03,4,4.35287640449438,84.2186956521739,822
304,56,Jersey,Alcohol,27,Nilima,45,7,844.6,21,15.0821428571429,120.657142857143,601
305,129,Honolulu,Frozen food,36,Bo,72,19,1221.99,7,9.47279069767442,64.3152631578947,851
