id,nItems,mostFreqStore,mostFreqCat,nCats,preferredBrand,nBrands,nPurch,salesLast3Mon,salesThisMon,daysSinceLastPurch,meanItemPrice,meanShoppingCartValue,customerDuration
40,131,Orlando,Alcohol,30,Nilima,77,18,1126.26,373.47,2,8.59740458015267,62.57,588
41,95,Seattle,Alcohol,33,Nilima,60,18,1158.56,479.74,6,12.1953684210526,64.3644444444444,642
42,152,Orlando,Frozen food,30,Nilima,68,21,1308.59,546.28,3,8.6091447368421,62.3138095238095,772
44,8,Orlando,Shoes,6,Akar,6,1,632.41,916.88,2,79.05125,632.41,974
45,231,Jersey,Baby,51,Bo,94,10,1434.39,572.37,18,6.20948051948052,143.439,705
46,157,Boston,Pets,40,Bo,68,20,1279.11,544.93,2,8.1471974522293,63.9555,677
47,99,Jersey,Packaged food,24,Veina,51,23,1325.19,677.24,9,13.3857575757576,57.6169565217391,819
48,241,Boston,Shoes,45,Nilima,112,34,1669.99,716.02,4,6.92941908713693,49.1173529411765,539
49,73,Boston,Shoes,16,Bo,30,20,1000.5,543.37,2,13.7054794520548,50.025,831
50,50,Boston,Baby,20,Moone,32,3,819.84,207.85,55,16.3968,273.28,620
51,375,Seattle,Bakery,49,Bo,126,68,1838.97,868.37,1,4.90392,27.0436764705882,639
52,125,Jersey,Baby,45,Moone,72,5,1119.76,637.46,11,8.95808,223.952,907
53,172,Colorado Springs,Pets,43,Bo,83,23,1309.64,648.37,3,7.61418604651163,56.9408695652174,551
54,36,Boston,Shoes,15,Alekto,31,2,841.11,730.1,67,23.3641666666667,420.555,723
55,290,Boston,Alcohol,52,Bo,110,13,1620.55,890.76,9,5.58810344827586,124.657692307692,800
56,171,San Diego,Packaged food,39,Veina,73,29,1421.31,637.18,1,8.31175438596491,49.0106896551724,626
57,276,Boston,Fresh food,46,Nilima,123,29,1849.95,982.35,1,6.70271739130435,63.7913793103448,782
58,16,San Diego,Alcohol,11,Bo,14,5,492.8,373.13,44,30.8,98.56,756
59,65,Colorado Springs,Alcohol,25,Bo,33,27,1091.23,451.99,2,16.7881538461538,40.4159259259259,786
60,80,Honolulu,Shoes,29,Nilima,44,15,1191.26,348.46,3,14.89075,79.4173333333333,504
61,107,Columbus,Clothes,28,Bo,49,29,1054.28,425.54,2,9.85308411214953,36.3544827586207,470
62,118,Columbus,Shoes,33,Bo,63,25,1143.31,583.8,2,9.68906779661017,45.7324,740
63,155,Denver,Beverages,41,Bo,83,18,1473.57,608.23,19,9.50690322580645,81.865,572
64,216,Honolulu,Shoes,40,Bo,80,38,1478.43,696.99,1,6.84458333333333,38.906052631579,660
65,79,Columbus,Frozen food,26,Bo,40,23,1017.23,360.42,2,12.8763291139241,44.2273913043478,548
66,74,Colorado Springs,Packaged food,25,Bo,39,7,900.93,424.45,13,12.1747297297297,128.704285714286,725
67,218,Colorado Springs,Alcohol,52,Bo,97,12,1477.79,735.78,14,6.77885321100917,123.149166666667,653
68,157,Denver,Shoes,42,Nilima,83,16,1272.6,788.5,2,8.10573248407643,79.5375,702
69,196,Colorado Springs,Baby,42,Bo,74,14,1292.24,100,7,6.5930612244898,92.3028571428571,0
70,294,Seattle,Fresh food,44,Bo,72,43,1588.94,806.26,1,5.40455782312925,36.9520930232558,711
71,438,Jersey,Bakery,57,Bo,193,43,2085.15,928.63,4,4.76061643835616,48.4918604651163,537
72,83,Boston,Shoes,33,Nilima,43,4,1077.87,534.66,12,12.9863855421687,269.4675,536
73,338,Seattle,Frozen food,55,Bo,153,33,1756.85,784.83,2,5.19778106508876,53.2378787878788,648
74,45,Boston,Baby,18,Veina,30,8,828.19,366.77,7,18.4042222222222,103.52375,437
75,74,Boston,Baby,24,Bo,49,18,1095.8,542.37,3,14.8081081081081,60.8777777777778,712
77,257,Boston,Shoes,45,Nilima,140,26,1629.75,605.97,3,6.34143968871595,62.6826923076923,604
78,31,Boston,Alcohol,20,Veina,29,4,773.83,322.14,14,24.9622580645161,193.4575,659
79,34,Columbus,Bakery,17,Nilima,29,13,794.11,492.09,3,23.3561764705882,61.0853846153846,651
80,51,Seattle,Alcohol,19,Bo,29,19,853.42,494.19,2,16.7337254901961,44.9168421052632,518
81,203,Seattle,Shoes,38,Veina,94,12,1278.63,597.75,7,6.29866995073892,106.5525,673
82,204,Boston,Alcohol,35,Bo,88,25,1402.74,672.84,1,6.87617647058824,56.1096,609
83,13,Boston,Bakery,6,Veina,11,7,601.93,437.1,3,46.3023076923077,85.99,783
84,113,Colorado Springs,Packaged food,31,Bo,49,19,880.41,354.98,1,7.7912389380531,46.3373684210526,699
86,162,Boston,Shoes,38,Nilima,78,42,1329.2,560.11,1,8.20493827160494,31.647619047619,839
87,423,Boston,Shoes,59,Bo,166,35,1745.11,687.49,1,4.12555555555556,49.8602857142857,392
88,29,San Diego,Baby,17,Veina,23,8,735.21,395.94,7,25.3520689655172,91.90125,549
89,325,Boston,Packaged food,47,Veina,118,49,1753.02,723.39,2,5.39390769230769,35.7759183673469,633
90,88,Boston,Packaged food,22,Bo,47,21,983,427.59,3,11.1704545454545,46.8095238095238,740
91,57,Orlando,Baby,23,Veina,38,7,1054.7,514.92,5,18.5035087719298,150.671428571429,538
92,230,Denver,Bakery,38,Bo,105,37,1634.27,945.41,2,7.10552173913043,44.1694594594595,885
94,165,Boston,Baby,42,Bo,82,13,1462.43,707.3,2,8.86321212121212,112.494615384615,752
96,93,Boston,Alcohol,29,Bo,42,9,1122.73,276.94,13,12.0723655913978,124.747777777778,351
98,127,Boston,Alcohol,36,Bo,64,6,1124.36,524.2,9,8.85322834645669,187.393333333333,662
99,62,Columbus,Alcohol,28,Bo,36,15,969.04,531.19,7,15.6296774193548,64.6026666666667,632
100,664,Seattle,Frozen food,65,Bo,223,43,2089.93,718.27,2,3.14748493975904,48.603023255814,461
101,179,Boston,Baby,38,Veina,77,41,1256.05,679.74,1,7.01703910614525,30.6353658536585,702
102,115,Boston,Bakery,29,Nilima,77,35,1444.29,501.99,1,12.5590434782609,41.2654285714286,454
103,234,Boston,Alcohol,38,Bo,82,54,1431.1,703.83,2,6.11581196581197,26.5018518518518,674
104,91,Honolulu,Fresh food,31,Bo,54,17,1028.78,460.2,1,11.3052747252747,60.5164705882353,665
105,156,Boston,Beverages,31,Bo,52,25,1270.79,558.37,3,8.14608974358974,50.8316,397
106,116,Boston,Frozen food,29,Nilima,72,10,1134.25,619.61,7,9.77801724137931,113.425,824
107,713,Boston,Alcohol,58,Bo,196,57,1929.16,871.35,2,2.70569424964937,33.8449122807018,491
108,162,Boston,Alcohol,32,Bo,69,38,1389.52,784.43,1,8.57728395061728,36.5663157894737,758
109,38,Boston,Baby,19,Bo,25,7,869.83,377.35,9,22.8902631578947,124.261428571429,434
110,115,Seattle,Shoes,33,Bo,62,14,1194.85,616.99,1,10.39,85.3464285714286,820
111,90,Jersey,Beverages,32,Bo,60,19,1144.31,435.38,2,12.7145555555556,60.2268421052632,551
112,32,Columbus,Baby,24,Bo,26,1,744.38,575.65,38,23.261875,744.38,542
113,188,Jersey,Shoes,47,Medeia,103,17,1451.85,636.76,1,7.72260638297872,85.4029411764706,684
114,20,Columbus,Baby,11,Veina,9,11,621.85,377.79,2,31.0925,56.5318181818182,648
115,517,Seattle,Frozen food,57,Bo,187,53,1866.75,740.15,1,3.61073500967118,35.2216981132075,539
116,208,Colorado Springs,Alcohol,43,Nilima,90,21,1377.79,674.28,6,6.62399038461538,65.6090476190476,788
117,168,Boston,Packaged food,39,Bo,92,26,1319.22,726.44,1,7.8525,50.7392307692308,695
118,142,Jersey,Bakery,40,Medeia,80,30,1483.44,472.02,1,10.4467605633803,49.448,435
119,86,Seattle,Packaged food,22,Kellest,34,16,1134.75,531.9,6,13.1947674418605,70.921875,663
120,125,Orlando,Alcohol,39,Bo,72,9,1125.64,467.32,17,9.00512,125.071111111111,787
121,168,Boston,Frozen food,43,Bo,89,22,1647.09,589.03,2,9.80410714285714,74.8677272727273,731
122,150,San Diego,Baby,34,Veina,63,8,1170.72,637.6,27,7.8048,146.34,677
123,303,Boston,Baby,32,Bo,87,54,1336.81,691.66,2,4.41191419141914,24.7557407407407,787
124,171,Jersey,Shoes,27,Veina,57,9,1446.66,767.01,2,8.46,160.74,760
125,90,Seattle,Frozen food,28,Nilima,51,10,1311.05,514.47,4,14.5672222222222,131.105,592
126,317,Seattle,Shoes,45,Nilima,106,19,1616.07,728.92,7,5.09801261829653,85.0563157894737,641
127,88,Seattle,Baby,27,Bo,53,14,1132.93,299.81,1,12.8742045454545,80.9235714285714,474
128,116,Jersey,Packaged food,37,Veina,63,12,1277.36,562.95,2,11.011724137931,106.446666666667,671
129,76,Denver,Alcohol,26,Bo,49,21,942.73,386.24,4,12.4043421052632,44.8919047619048,672
130,284,Columbus,Packaged food,49,Bo,132,37,1535.87,664.35,2,5.40799295774648,41.51,519
131,273,Columbus,Frozen food,42,Medeia,90,63,1741.23,690.97,2,6.37813186813187,27.6385714285714,495
132,46,Denver,Baby,18,Bo,23,2,839,776.3,3,18.2391304347826,419.5,939
133,156,Colorado Springs,Alcohol,35,Bo,61,19,1403.9,640.16,1,8.99935897435897,73.8894736842105,747
134,226,Denver,Frozen food,47,Bo,89,31,1432.45,590.23,1,6.33827433628319,46.208064516129,585
135,9,Columbus,Baby,7,Bo,8,2,470.29,250.29,74,52.2544444444444,235.145,547
136,189,Seattle,Alcohol,38,Bo,81,28,1406.34,731.96,11,7.44095238095238,50.2264285714286,843
137,108,Orlando,Shoes,32,Nilima,47,16,1116.23,597.56,3,10.335462962963,69.764375,759
138,204,Columbus,Bakery,31,Bo,85,22,1494.44,744.07,1,7.3256862745098,67.9290909090909,636
139,32,Columbus,Beverages,20,Bo,21,2,839.77,566.65,17,26.2428125,419.885,682
140,146,Columbus,Shoes,38,Bo,70,29,1215.68,498.39,4,8.32657534246575,41.92,612
142,294,Columbus,Alcohol,45,Nilima,133,26,1573.5,530.67,1,5.35204081632653,60.5192307692308,445
143,316,Columbus,Shoes,53,Bo,124,21,1672.21,784.24,1,5.29180379746835,79.6290476190476,690
144,184,Columbus,Alcohol,44,Bo,79,24,1373.52,527.46,3,7.46478260869565,57.23,492
145,67,Honolulu,Baby,24,Bo,35,18,860.88,345.35,14,12.8489552238806,47.8266666666667,654
146,133,Columbus,Frozen food,39,Bo,60,9,1153.37,542.06,9,8.67195488721804,128.152222222222,740
147,85,Orlando,Alcohol,31,Bo,52,5,1087.2,661.27,2,12.7905882352941,217.44,846
148,185,Columbus,Packaged food,42,Bo,75,29,1399.1,617.19,1,7.5627027027027,48.2448275862069,575
149,287,Columbus,Bakery,47,Veina,128,57,2088.99,906.69,2,7.27871080139373,36.648947368421,693
150,15,Seattle,Pets,8,Bo,12,4,668.1,345.77,35,44.54,167.025,676
151,122,Seattle,Packaged food,34,Veina,77,7,1267.61,778.96,29,10.3902459016393,181.087142857143,777
152,11,Orlando,Baby,10,Nilima,10,7,585.36,343.44,11,53.2145454545455,83.6228571428571,714
153,119,Columbus,Bakery,30,Bo,61,12,1452.42,735.3,4,12.2052100840336,121.035,585
154,73,Orlando,Alcohol,25,Moone,40,5,961.47,291.78,19,13.1708219178082,192.294,386
155,73,Seattle,Packaged food,18,Nilima,32,24,904.74,432,7,12.393698630137,37.6975,604
157,94,Columbus,Alcohol,27,Alekto,54,13,948.46,458.63,3,10.09,72.9584615384615,560
158,297,Denver,Shoes,49,Bo,114,26,1494.98,697.21,1,5.03360269360269,57.4992307692308,621
159,259,San Diego,Shoes,50,Bo,117,29,1587.01,715.5,2,6.12745173745174,54.7244827586207,532
160,444,Colorado Springs,Alcohol,57,Nilima,201,36,1983.45,719.49,1,4.46722972972973,55.0958333333333,548
161,75,Columbus,Bakery,29,Bo,35,26,1157.49,425.47,1,15.4332,44.5188461538462,689
162,237,Columbus,Alcohol,42,Nilima,110,36,1466.77,694.38,3,6.1889029535865,40.7436111111111,696
163,61,Denver,Packaged food,20,Veina,36,7,1076.12,471.47,2,17.6413114754098,153.731428571429,758
164,628,Stockton,Alcohol,59,Veina,189,36,1897.62,881.33,1,3.02168789808917,52.7116666666667,815
165,87,Stockton,Alcohol,30,Veina,65,14,1147.5,593.38,5,13.1896551724138,81.9642857142857,752
166,124,Orlando,Shoes,40,Bo,67,11,1216.61,623.92,3,9.81137096774193,110.600909090909,586
167,393,Seattle,Shoes,53,Bo,177,53,1894.01,911.84,1,4.81936386768448,35.7360377358491,539
168,236,Columbus,Frozen food,40,Bo,73,22,1398.39,586.54,6,5.9253813559322,63.5631818181818,611
169,109,Boston,Pets,33,Bo,47,9,1303.78,790.65,18,11.9612844036697,144.864444444444,747
170,88,Honolulu,Alcohol,28,Bo,56,20,1054.41,472.31,2,11.9819318181818,52.7205,634
171,126,Orlando,Alcohol,32,Nilima,76,16,1216.8,676.33,8,9.65714285714286,76.05,714
172,171,Seattle,Bakery,29,Veina,94,13,1562.51,626.94,8,9.13748538011696,120.193076923077,518
173,230,Colorado Springs,Alcohol,48,Nilima,114,15,1464.89,637.15,2,6.36908695652174,97.6593333333333,629
174,293,Jersey,Baby,54,Medeia,117,19,1566.85,771.11,1,5.34761092150171,82.4657894736842,752
175,113,Boston,Alcohol,28,Veina,48,10,1144.32,403.43,1,10.1267256637168,114.432,316
176,322,San Diego,Shoes,52,Bo,148,14,1535.53,748.91,8,4.76872670807453,109.680714285714,762
177,229,Denver,Alcohol,46,Bo,106,12,1326.08,628.83,9,5.7907423580786,110.506666666667,748
178,58,Colorado Springs,Baby,18,Veina,25,20,977.77,527.03,2,16.8581034482759,48.8885,895
179,433,Columbus,Alcohol,53,Bo,160,28,1732.52,745.34,6,4.00120092378753,61.8757142857143,504
180,75,Boston,Packaged food,29,Bo,46,14,977.66,491.92,1,13.0354666666667,69.8328571428571,733
181,213,Boston,Packaged food,37,Bo,103,31,1494.45,645.13,6,7.01619718309859,48.208064516129,728
182,175,Jersey,Shoes,35,Veina,90,23,1243.93,535.85,3,7.10817142857143,54.0839130434783,620
183,146,Jersey,Alcohol,41,Bo,74,10,1177.23,599.31,1,8.06321917808219,117.723,615
184,196,Boston,Alcohol,39,Bo,92,30,1347.07,578.32,1,6.87280612244898,44.9023333333333,823
185,366,Colorado Springs,Bakery,48,Nilima,140,64,1932.86,977.61,5,5.28103825136612,30.2009375,838
186,195,Honolulu,Frozen food,45,Bo,113,23,1438.1,664,7,7.37487179487179,62.5260869565217,691
187,314,Boston,Alcohol,44,Bo,115,14,1460.43,586.37,1,4.65105095541401,104.316428571429,697
188,650,Honolulu,Alcohol,60,Bo,201,25,1902.38,938.1,4,2.92673846153846,76.0952,824
189,292,Denver,Alcohol,42,Moone,144,25,1562.1,746.75,1,5.34965753424657,62.484,614
190,130,Orlando,Alcohol,35,Nilima,71,10,1196.41,539.85,6,9.20315384615385,119.641,594
192,90,Denver,Frozen food,26,Bo,44,13,1074.75,526.2,3,11.9416666666667,82.6730769230769,652
193,38,Columbus,Baby,14,Bo,21,7,727.28,317.68,1,19.1389473684211,103.897142857143,694
195,185,Columbus,Baby,43,Bo,90,22,1430.82,714.38,1,7.73416216216216,65.0372727272727,749
196,117,Honolulu,Frozen food,29,Medeia,52,22,1191.51,570.97,2,10.1838461538462,54.1595454545455,708
198,177,Seattle,Alcohol,33,Bo,69,11,1431.4,596.03,2,8.08700564971751,130.127272727273,462
199,61,Columbus,Shoes,27,Bo,44,6,965.03,520.99,2,15.8201639344262,160.838333333333,542
200,94,Seattle,Bakery,12,Veina,19,66,1221.99,530.76,2,12.9998936170213,18.515,760
201,122,Columbus,Alcohol,35,Bo,52,12,1266.23,460.6,6,10.3789344262295,105.519166666667,681
202,395,San Diego,Alcohol,46,Bo,133,39,1682.96,726.36,2,4.2606582278481,43.1528205128205,505
203,39,Seattle,Alcohol,24,Bo,26,11,902.64,478.15,2,23.1446153846154,82.0581818181818,694
204,197,Honolulu,Bakery,42,Bo,76,20,1389.24,599.43,1,7.05197969543147,69.462,408
206,34,San Diego,Frozen food,19,Veina,25,5,755.2,280.37,4,22.2117647058824,151.04,621
207,66,Seattle,Shoes,29,Bo,49,17,1121.47,522.65,1,16.9919696969697,65.9688235294118,612
208,270,Seattle,Alcohol,54,Bo,139,26,1662.47,946.48,3,6.1572962962963,63.9411538461538,843
209,284,Orlando,Shoes,51,Moone,120,12,1673.08,656.94,3,5.89112676056338,139.423333333333,612
210,231,Colorado Springs,Alcohol,53,Bo,96,23,1547.34,652.49,5,6.69844155844156,67.275652173913,484
211,345,Boston,Baby,50,Bo,145,26,1734.5,867.25,1,5.02753623188406,66.7115384615385,769
212,159,Jersey,Fresh food,42,Medeia,84,23,1317.12,588.03,6,8.28377358490566,57.2660869565217,553
213,144,Boston,Baby,33,Veina,76,14,1264.35,565.06,3,8.78020833333333,90.3107142857143,607
214,135,Denver,Shoes,35,Bo,61,17,1216.51,472.82,1,9.01118518518519,71.5594117647059,505
215,223,Honolulu,Baby,46,Bo,119,41,1346.5,529.85,1,6.03811659192825,32.8414634146341,586
216,40,Seattle,Baby,12,Veina,15,9,970.08,294.15,4,24.252,107.786666666667,421
217,132,Boston,Pets,39,Bo,65,29,1132.18,540.33,2,8.57712121212121,39.0406896551724,657
218,271,Boston,Alcohol,38,Bo,91,24,1510.57,632.96,1,5.57405904059041,62.9404166666667,752
219,144,Orlando,Shoes,41,Bo,85,16,1405.4,249.01,14,9.75972222222222,87.8375,326
220,589,Seattle,Alcohol,56,Nilima,190,28,2262.53,1064.69,1,3.84130730050934,80.8046428571429,730
221,172,Orlando,Packaged food,33,Bo,63,16,1302.01,631.18,2,7.56982558139535,81.375625,741
222,161,Honolulu,Shoes,37,Bo,61,22,1372.27,682.2,4,8.52341614906832,62.3759090909091,804
223,95,Columbus,Baby,34,Bo,56,16,1057.08,718.95,1,11.1271578947368,66.0675,820
224,82,Orlando,Frozen food,18,Medeia,26,20,1191.09,571.47,8,14.525487804878,59.5545,726
226,185,Honolulu,Alcohol,32,Bo,81,32,1416.12,647.44,2,7.6547027027027,44.25375,554
227,73,Seattle,Shoes,23,Alekto,37,17,1148.61,612.27,3,15.7343835616438,67.5652941176471,652
228,164,Orlando,Fresh food,38,Bo,81,13,1370.8,729.63,5,8.35853658536585,105.446153846154,817
229,86,Columbus,Alcohol,32,Bo,49,10,1027.98,513.92,22,11.9532558139535,102.798,565
230,290,Jersey,Alcohol,53,Bo,130,28,1578.62,652.74,2,5.44351724137931,56.3792857142857,583
231,247,Denver,Shoes,47,Bo,97,16,1556.5,684.11,3,6.30161943319838,97.28125,580
232,165,Columbus,Shoes,37,Bo,84,24,1373.66,592.58,4,8.32521212121212,57.2358333333333,515
233,273,Seattle,Bakery,47,Bo,123,45,1665.66,706.1,3,6.10131868131868,37.0146666666667,598
235,56,Columbus,Alcohol,22,Alekto,33,23,823.93,466.59,4,14.7130357142857,35.8230434782609,589
236,76,Boston,Shoes,31,Bo,42,18,917.88,243.29,2,12.0773684210526,50.9933333333333,420
237,173,Jersey,Frozen food,44,Bo,103,30,1498.72,773.26,8,8.66312138728324,49.9573333333333,906
238,121,Columbus,Shoes,32,Bo,49,14,1213.76,620.54,7,10.0310743801653,86.6971428571429,876
239,172,Honolulu,Baby,40,Bo,80,16,1318.25,538.26,7,7.66424418604651,82.390625,605
240,289,Seattle,Frozen food,44,Bo,149,19,1805.62,1022.49,1,6.24782006920415,95.0326315789474,889
241,272,Boston,Bakery,45,Veina,120,22,2002.1,979.75,2,7.36066176470588,91.0045454545455,780
242,116,Colorado Springs,Baby,32,Bo,65,21,1213.79,610.78,4,10.4637068965517,57.7995238095238,800
243,4,Columbus,Baby,2,Veina,3,2,465.83,273.55,33,116.4575,232.915,653
244,320,Columbus,Packaged food,55,Bo,132,41,1646.5,606.44,1,5.1453125,40.1585365853659,494
245,336,Seattle,Frozen food,48,Medeia,96,25,1723.7,580,3,5.13005952380952,68.948,544
246,261,Columbus,Shoes,49,Veina,117,36,1557.69,656.41,1,5.96816091954023,43.2691666666667,574
247,299,Orlando,Pets,47,Bo,119,22,1583.88,749.32,2,5.29725752508361,71.9945454545455,920
248,91,Boston,Shoes,40,Veina,62,19,1107.41,536.64,5,12.1693406593407,58.2847368421053,620
249,342,Honolulu,Alcohol,43,Tanvi,85,11,1662.65,977.79,6,4.86154970760234,151.15,871
250,128,Boston,Shoes,38,Bo,79,11,1320.21,576.58,2,10.314140625,120.019090909091,553
253,69,Orlando,Packaged food,28,Bo,48,24,1026.73,562.25,6,14.8801449275362,42.7804166666667,611
254,256,Columbus,Baby,48,Bo,85,61,1501.22,721.42,1,5.864140625,24.6101639344262,747
255,162,Boston,Clothes,30,Tanvi,71,8,1391.71,705.47,6,8.5908024691358,173.96375,658
256,316,Seattle,Alcohol,42,Nilima,102,24,1474.5,650.77,2,4.66613924050633,61.4375,599
257,262,Honolulu,Alcohol,48,Bo,96,37,1550.94,709.34,1,5.91961832061069,41.9172972972973,514
258,146,Colorado Springs,Baby,39,Veina,65,27,1265.81,621.8,1,8.66993150684931,46.8818518518518,689
259,16,Denver,Frozen food,10,Veina,12,5,691.42,140.78,2,43.21375,138.284,343
260,143,Seattle,Pets,43,Bo,74,9,1279.38,493.08,1,8.94671328671329,142.153333333333,325
261,198,Boston,Shoes,41,Veina,87,42,1460.03,673.14,5,7.37388888888889,34.762619047619,706
262,195,Orlando,Frozen food,34,Bo,97,36,1290.37,559.36,4,6.61728205128205,35.8436111111111,668
263,184,Columbus,Fresh food,39,Bo,85,16,1431.95,581.3,1,7.78233695652174,89.496875,580
264,90,Colorado Springs,Frozen food,31,Bo,52,19,1110.06,494.98,6,12.334,58.4242105263158,831
265,158,Columbus,Beverages,45,Nilima,85,13,1236.75,654.77,16,7.82753164556962,95.1346153846154,784
266,16,Columbus,Beverages,10,Bo,10,6,547.77,262.85,18,34.235625,91.295,607
267,75,Denver,Alcohol,33,Bo,51,10,1000.67,343.33,7,13.3422666666667,100.067,640
268,286,Seattle,Baby,47,Bo,134,38,1626.8,972.45,5,5.68811188811189,42.8105263157895,896
269,30,Orlando,Clothes,12,Veina,17,7,778.61,300.63,5,25.9536666666667,111.23,740
270,344,Boston,Alcohol,52,Bo,130,13,1535.33,670.3,3,4.46316860465116,118.102307692308,669
271,73,Columbus,Packaged food,29,Bo,32,16,916.07,425.86,2,12.548904109589,57.254375,624
272,42,Columbus,Shoes,21,Bo,23,13,785.4,551.85,1,18.7,60.4153846153846,901
273,447,Columbus,Alcohol,63,Bo,193,44,1880.52,879.37,3,4.20697986577181,42.7390909090909,528
274,539,Seattle,Pets,55,Bo,175,42,1941.61,857.42,1,3.60224489795918,46.2288095238095,661
275,48,Colorado Springs,Frozen food,21,Veina,34,14,840.99,197.21,2,17.520625,60.0707142857143,443
276,60,Seattle,Alcohol,25,Nilima,39,11,939.9,513.94,1,15.665,85.4454545454545,687
277,98,Columbus,Packaged food,21,Nilima,32,13,1195.86,612.96,4,12.2026530612245,91.9892307692308,652
278,39,Colorado Springs,Baby,16,Moone,22,9,578.05,269.57,6,14.8217948717949,64.2277777777778,729
279,95,Colorado Springs,Bakery,31,Bo,50,12,1112.96,492.52,2,11.7153684210526,92.7466666666667,473
281,75,Honolulu,Shoes,21,Bo,32,4,1100.71,604.49,2,14.6761333333333,275.1775,697
282,407,Seattle,Alcohol,48,Bo,140,33,1888.01,794.91,10,4.63884520884521,57.2124242424242,335
283,285,Jersey,Baby,51,Veina,132,19,1795.29,861.68,7,6.29926315789474,94.4889473684211,666
284,593,Honolulu,Baby,60,Bo,223,24,2085.21,733.69,2,3.51637436762226,86.88375,400
285,181,Colorado Springs,Frozen food,39,Bo,105,13,1467.8,516.42,6,8.10939226519337,112.907692307692,534
286,193,Orlando,Shoes,42,Bo,98,25,1394.39,389.1,6,7.22481865284974,55.7756,403
287,193,Boston,Frozen food,37,Bo,80,21,1402.4,745.15,3,7.26632124352332,66.7809523809524,761
