daysSinceFirstPurch,shoppingCartValue,gender,voucher,returned,boughtAgain
16,155.32,male,0,0,1
42,30.16,male,0,1,0
19,84.21,female,0,1,0
60,58.96,female,0,0,1
25,76.93,female,0,0,1
47,81.83,female,0,0,1
52,95.77,male,0,0,1
16,38.56,male,0,0,1
24,56.08,female,1,0,1
27,59.7,female,0,0,0
21,112.45,female,0,1,1
22,174.53,male,1,1,0
32,124.62,male,0,0,1
38,89.98,female,0,0,1
39,71.22,female,1,0,1
31,66.14,female,0,0,0
101,159.25,male,0,0,1
19,82.53,female,0,0,1
28,51.06,female,1,0,0
47,117.24,male,0,1,1
23,40.01,male,0,0,1
18,67.82,female,0,1,0
47,48.77,male,1,0,1
34,50.71,female,0,0,1
25,85.11,female,0,0,0
93,143.85,male,0,1,0
38,90.65,male,0,1,0
27,81.38,female,1,0,1
12,35.56,female,1,0,0
25,97.06,female,0,0,0
32,89.95,female,1,0,1
36,78.84,male,0,1,1
43,55.86,male,0,0,0
30,133.57,male,0,0,1
14,87.41,female,0,0,0
41,23.73,male,1,0,0
65,58.54,male,0,1,1
50,50.64,female,0,0,0
65,61.32,female,0,1,0
29,89.59,female,0,0,1
13,58.02,female,1,0,0
33,121.79,female,0,0,1
33,50.03,male,1,0,1
24,78.02,female,1,0,1
11,124.46,female,0,0,1
7,82.12,male,1,0,0
29,59.12,female,0,0,0
20,98.44,male,0,0,1
47,78.85,female,0,0,1
73,118.07,female,0,1,1
38,56.77,female,0,0,0
52,130.87,male,0,0,1
44,43.77,female,0,0,0
36,54.35,female,1,1,0
41,110.86,male,1,0,0
39,53.32,female,0,0,0
20,26.78,female,0,0,1
46,161.83,female,1,0,1
38,181.79,female,0,0,1
9,39.71,female,1,0,0
61,45.77,female,0,0,0
62,125.87,female,0,0,0
18,66.96,male,0,0,0
23,88.07,male,0,0,1
53,47.44,female,1,0,0
27,82.9,male,0,1,1
24,47.63,female,0,0,1
32,75.3,female,0,0,0
16,62.12,male,1,0,1
22,57.39,female,0,0,1
36,65.04,female,0,0,1
53,108.98,female,1,0,0
26,43.67,male,0,1,1
34,102.81,male,0,1,0
85,103.6,female,0,0,0
52,94.49,male,0,0,1
27,78.55,female,0,0,1
63,75.78,female,0,0,0
18,69.99,female,0,0,1
47,91,male,0,0,1
46,131.64,female,0,0,1
37,124.22,female,0,0,1
39,108.47,male,1,0,1
22,56.06,female,0,0,0
10,68.98,female,0,1,0
14,142.99,female,1,0,1
21,190.88,male,0,0,0
43,39.76,male,0,0,1
75,93.1,male,0,0,1
24,76.52,male,0,1,1
20,96.14,female,0,0,1
29,23.55,male,0,0,1
15,37.07,male,0,0,1
11,51.78,female,0,0,0
38,68.34,female,0,0,0
34,68.58,male,0,0,1
6,43.57,female,0,0,1
67,211.81,female,0,0,1
15,92.02,female,1,0,1
24,76.5,female,0,1,0
21,62.7,female,0,0,0
60,125.53,female,0,0,0
7,49.78,female,0,1,0
50,84.17,female,0,0,0
21,79.77,female,0,0,0
11,38.25,female,0,1,1
33,85.67,female,0,1,0
31,96.61,female,0,0,1
25,82.36,female,0,0,1
37,87,female,0,1,0
15,98.5,female,0,0,1
45,119.54,male,0,0,1
56,73.94,female,0,0,0
31,110.92,female,0,0,0
55,89.65,male,0,0,1
33,37.53,female,0,1,0
43,88.23,female,0,0,1
69,84.02,female,0,1,1
23,38.44,male,0,0,1
38,52.58,female,1,0,1
45,41.93,male,0,0,1
47,57.44,male,0,0,1
26,110.5,female,0,1,1
15,55.53,male,1,0,1
26,71.86,female,1,1,0
31,72.46,female,0,0,1
16,67.62,female,0,0,1
10,63,female,0,0,0
31,134.45,male,0,0,1
39,66.4,female,0,0,0
43,100.09,female,0,0,1
9,61.67,female,0,0,1
26,45.47,female,0,0,0
23,110.18,female,1,0,0
51,107.67,female,0,1,0
14,144.64,male,0,0,0
12,65.53,female,0,1,0
34,46.61,female,0,1,0
25,183.22,female,0,1,1
39,99.7,female,0,0,0
26,87.03,female,0,0,1
13,70.35,female,0,0,0
31,68.56,female,1,0,1
31,124.87,female,0,0,0
6,38.91,male,0,0,0
51,64.91,female,0,0,0
20,65.33,female,0,1,0
16,36,male,0,0,0
29,79.94,female,0,0,0
8,65.93,female,1,0,1
25,93.1,male,0,0,0
25,114.81,male,1,0,1
19,95.75,male,0,0,1
46,55.81,female,0,0,0
26,94.18,female,0,1,1
102,253.84,female,0,0,0
48,73.04,female,0,0,0
51,52.9,female,0,0,1
19,36.45,female,1,0,1
45,208.41,male,0,1,0
44,149.87,male,1,0,1
15,38.22,female,0,0,0
54,33.31,male,0,0,1
3,34.49,female,0,1,0
29,44.7,male,0,0,0
96,127.11,female,1,0,0
37,115.55,male,0,0,1
30,85.86,female,0,1,0
15,118.72,male,0,0,0
18,67.27,male,0,0,0
36,65.5,female,0,0,0
27,61.66,male,0,0,1
19,50.59,male,1,0,1
54,80.77,female,1,0,1
38,164.75,female,0,0,1
47,30.22,male,1,1,0
26,47.71,female,0,0,1
16,60.47,female,0,0,1
27,63.75,female,0,0,1
9,92.97,male,0,1,1
27,73.87,male,0,0,1
28,40.15,female,0,0,1
35,66.17,female,1,0,0
62,53.8,female,0,0,1
30,72.65,female,0,1,0
34,121.24,male,0,0,1
16,41.45,male,1,0,0
42,58.57,male,1,0,1
23,95.42,male,0,0,1
49,115.57,male,0,0,1
37,74.58,female,0,0,0
73,48.59,female,1,0,0
17,48.85,female,0,0,1
9,64.56,male,1,0,1
25,56.12,female,0,0,1
11,81.11,female,0,0,0
14,48.39,male,0,0,1
82,137.16,female,0,0,0
23,59.04,male,0,0,1
45,131.99,male,0,0,1
48,136.91,female,0,0,0
20,96.87,male,0,1,1
82,101.92,female,0,0,1
9,52.52,female,0,0,1
7,106.18,female,0,0,1
23,135.28,female,1,0,1
27,66.01,female,0,0,0
27,68.15,female,0,0,0
54,63.93,female,0,1,0
27,108.41,female,0,1,1
7,95.99,male,0,0,1
53,121.06,female,0,0,1
11,42.18,male,0,0,1
91,196.34,male,0,0,1
33,124.67,male,0,0,1
31,51.87,female,1,1,1
25,113.5,male,0,0,1
44,57.8,female,1,0,1
38,29.17,female,0,1,0
7,114.75,male,0,0,1
33,32.73,male,1,0,0
26,48.96,female,0,0,0
25,90.28,male,0,0,1
27,131.25,female,0,0,1
42,94.97,female,0,1,0
53,78.13,female,0,0,1
56,130.67,female,0,1,0
30,88.86,female,0,0,0
34,259.74,male,0,1,0
18,25.3,male,0,1,0
25,115.7,female,0,1,0
32,134.94,male,0,0,0
5,55.06,male,0,1,0
33,160.67,male,0,1,0
7,109.47,male,1,0,1
48,70.22,female,0,0,1
44,121.47,male,1,1,1
27,57.1,female,1,0,1
9,81.64,female,0,0,1
89,136.06,male,0,0,1
12,42.93,female,0,0,1
19,87.43,female,0,0,1
52,93.18,male,0,0,1
25,80.15,male,0,0,1
30,39.91,female,0,0,1
56,50.94,female,1,0,0
26,39.26,male,0,1,0
35,69.34,female,0,0,0
22,50.11,male,0,1,1
30,71.83,male,0,0,0
27,159.66,male,0,0,1
22,64.99,male,1,0,1
16,90.44,female,0,0,1
22,125.1,male,0,0,1
39,91.74,female,0,1,1
82,57.87,male,0,0,1
66,51.49,female,0,0,1
53,179.54,male,0,1,0
49,58.53,female,1,1,0
23,159.86,female,0,0,1
23,118.34,female,0,1,0
34,132.08,male,0,0,1
56,54.5,female,1,1,0
41,46.58,male,1,0,0
49,63.64,female,0,0,0
38,134.68,female,0,1,0
30,65.75,female,0,0,1
77,44.74,male,0,0,1
52,65.34,female,0,1,0
27,64.49,female,0,0,0
31,55.25,female,0,0,0
18,81.52,male,0,1,0
44,54.76,male,0,0,0
30,117.31,female,1,0,1
48,107.03,male,0,0,1
41,53.12,female,0,0,1
16,26.51,female,1,0,0
49,69.16,male,0,0,1
25,146.42,female,0,0,1
48,91.82,female,0,1,1
52,41.83,female,0,0,1
12,46.29,female,0,0,1
49,36.41,female,0,0,0
21,67.38,male,0,1,1
56,33.41,female,0,1,1
31,76.66,female,1,1,0
41,55.57,male,1,1,0
15,85.27,female,1,0,0
20,108.46,male,0,0,1
9,94.69,female,0,0,1
68,124.11,male,0,0,0
62,193.67,male,0,0,1
31,166.23,female,0,0,1
63,111.64,female,0,0,0
48,41.1,female,0,0,0
18,71.9,female,0,1,1
57,42.12,female,1,0,0
20,136.13,female,0,0,1
59,224.16,female,1,1,0
60,73.9,female,1,1,0
25,43.86,female,0,0,1
28,140.24,female,1,1,1
67,87.45,female,1,1,0
18,94.36,female,0,1,1
14,38.25,female,0,0,1
29,76.79,female,1,0,0
43,69.07,female,1,0,0
9,156.69,female,0,0,1
35,40.54,female,1,0,0
28,100.74,female,0,0,1
30,100.73,male,1,0,1
54,41.41,female,0,0,1
55,77.43,female,0,0,1
52,79.31,female,0,0,0
61,204.02,female,0,0,0
28,64.89,female,0,0,1
39,35.61,female,1,0,1
9,46.51,female,1,0,1
68,95.8,male,0,0,1
16,65.36,female,0,0,0
37,46.03,female,0,0,0
29,58.78,male,0,0,0
66,116.58,male,0,0,1
40,24.99,female,0,0,1
35,113.59,male,0,1,1
28,208,female,0,0,1
26,53.04,female,0,0,0
34,54.25,female,0,1,1
15,33.49,female,0,0,1
34,77.11,female,1,1,0
19,147.26,female,0,0,1
17,75.88,female,1,0,0
20,37.12,female,0,1,0
21,83.68,female,0,1,1
15,50.11,female,1,1,0
14,63.8,female,0,0,0
38,98.71,female,0,1,0
17,41.92,female,1,0,0
47,74.23,male,1,0,1
32,79.22,female,0,0,1
26,52.8,female,1,1,0
14,74.92,female,0,0,1
10,184.73,male,1,1,0
45,131.45,male,0,0,0
11,42.05,female,0,0,0
56,126.7,female,1,0,0
32,40.58,female,0,0,1
12,170.75,male,0,0,1
21,63.97,male,0,0,1
67,56.54,male,0,1,1
22,156.49,female,0,0,1
26,140.28,male,0,0,1
30,79.91,female,1,0,1
34,68.23,male,1,0,0
17,44.02,female,0,0,1
56,188.39,female,0,0,1
13,61.52,female,0,0,1
45,69.36,female,1,1,0
28,118.12,female,0,0,1
25,84.18,male,0,0,1
49,138.15,male,1,0,1
40,47.92,female,1,0,1
27,45.14,female,0,0,0
48,112.56,female,0,1,0
45,44.15,female,0,0,1
36,33.79,female,0,1,1
35,67.37,female,1,0,0
48,103.49,male,0,0,1
46,86.37,female,0,0,1
64,136.11,female,0,0,1
33,139.56,female,1,0,1
34,52.8,male,0,0,1
33,93.7,female,0,0,1
43,68.96,male,0,1,1
27,93.85,female,1,0,1
34,41.12,female,0,0,0
46,142.62,male,0,0,0
50,41.41,female,1,0,0
30,79.78,female,0,1,0
68,84.57,male,0,0,1
46,107.61,female,0,0,1
21,64.14,male,0,0,0
96,360.56,male,0,0,1
36,24.76,male,1,1,0
10,53.52,female,0,0,0
15,35.85,male,0,0,1
11,94.07,male,0,1,1
32,54.87,male,0,0,1
41,117.76,female,0,0,0
38,34.67,female,0,0,0
22,53.29,male,0,1,0
3,166.69,male,0,0,1
35,80.01,male,0,0,1
20,48.71,female,0,0,0
29,68.16,male,0,0,1
29,72.53,female,1,0,0
57,83.54,male,0,1,1
20,62.17,female,0,0,1
28,115.45,male,1,1,0
14,157.24,female,1,1,0
47,105.63,male,0,0,1
3,45.52,male,0,0,1
43,71.68,male,0,0,1
33,36.25,male,0,0,0
48,66.1,female,0,0,1
9,46.2,female,0,0,1
36,81.88,male,1,0,1
16,101.39,male,0,1,1
24,102.54,male,0,0,1
28,111.49,male,0,0,1
20,47.03,female,0,0,0
38,56.49,female,0,0,1
44,58.02,female,1,1,0
36,86.67,male,0,0,1
14,73.33,female,0,0,0
44,171.17,female,1,0,1
4,83.93,female,0,0,1
11,74.8,female,0,1,1
19,59.5,male,0,0,0
13,62.39,female,1,1,0
18,89.43,female,0,1,0
23,34.57,male,0,0,1
49,71.74,female,0,0,1
17,94.55,male,0,0,1
45,63.23,female,0,0,1
20,76.74,female,0,1,1
18,130.87,female,0,1,0
15,58.22,female,1,1,0
31,77.77,female,1,1,0
47,46.14,female,0,1,0
32,57.05,female,0,0,1
44,84.51,female,0,0,1
36,49.96,female,0,0,0
23,67.14,female,0,0,1
9,94.95,female,0,0,0
9,63.94,female,1,1,1
6,121.16,female,1,1,1
50,95.89,male,1,0,1
26,106.21,female,0,0,1
72,38.89,male,0,0,1
56,65.72,male,0,0,1
54,48.05,female,0,0,0
17,57.25,female,0,0,0
44,38.45,female,0,0,1
11,45.11,female,0,1,0
21,53.56,female,0,0,1
14,40.76,female,0,0,1
69,189.19,male,0,0,1
13,85.65,female,1,0,0
39,47.54,female,0,0,0
36,84.23,female,0,0,1
35,99.31,female,1,1,0
39,66.9,female,0,1,1
14,63.61,female,0,1,1
30,86.12,male,0,0,1
64,88.73,female,0,0,1
26,60.11,female,0,0,1
29,31.16,female,1,0,1
11,57.12,female,0,0,1
41,102.5,female,0,0,0
30,78.67,female,1,1,1
39,51.45,female,1,0,1
70,97.17,female,0,0,0
51,103.19,female,0,1,1
63,22.91,female,1,0,0
30,83.75,male,0,0,1
54,134.42,male,0,0,1
17,116.59,female,0,0,1
26,69.4,male,0,0,1
34,59.25,female,1,1,0
16,89.21,male,0,0,1
25,47.4,male,0,0,1
17,38.6,female,0,0,0
28,84.6,female,0,1,0
35,47.02,male,0,0,1
45,88.47,female,0,0,1
44,114.69,male,0,0,1
26,52.43,male,1,0,1
35,85.61,male,0,0,1
60,49.18,female,0,0,0
21,49.95,female,0,1,0
35,49.33,female,1,1,0
38,46.91,female,0,0,0
21,138.3,female,0,0,1
15,78.9,female,0,0,0
21,46.99,female,0,0,1
44,78.48,male,0,1,1
60,106.94,male,0,0,1
42,47.93,male,0,0,1
43,102.72,male,0,1,1
26,73.08,female,0,1,0
38,68.92,male,0,0,1
16,65.08,male,0,0,1
50,154.5,male,1,1,1
24,81.97,female,0,0,1
4,116.16,male,0,0,1
1,48.2,female,0,0,1
20,94.13,female,0,0,0
74,55.25,male,0,1,0
33,83.09,male,0,1,1
24,40.1,female,0,0,1
24,78.08,male,1,0,1
24,78.41,female,1,0,1
43,44.3,female,0,0,1
39,205.97,female,0,0,1
30,60.57,male,0,0,1
52,70.12,male,0,1,1
25,87.97,female,0,0,1
34,65.67,male,0,0,0
17,81.67,female,0,0,1
29,70.02,male,1,1,0
8,51.99,male,0,0,0
45,55.68,female,0,0,0
11,465.77,male,0,0,1
41,98.7,male,0,1,1
54,73.04,male,0,1,1
19,157.76,male,0,0,0
60,60.04,female,1,0,1
9,90.01,female,0,0,1
65,89.25,female,0,0,1
35,80.36,male,0,0,1
49,39.05,female,0,0,0
26,110.3,female,0,0,1
19,69.85,female,0,1,0
39,31.92,female,1,1,0
46,54.9,male,0,0,0
32,93.14,female,0,0,0
32,52.29,female,0,1,0
28,126.23,male,0,0,1
44,76.62,male,0,1,0
27,38.29,male,0,0,1
24,97.9,male,0,0,1
15,137.23,male,0,0,0
6,88.77,female,0,0,1
55,45.88,female,0,0,1
12,72.18,female,0,1,0
30,77.4,male,0,0,0
24,65.89,female,0,0,1
34,143.2,female,0,0,0
27,120.36,male,1,0,1
44,36.23,male,0,0,0
24,39.49,male,0,0,1
24,100.9,female,0,0,0
41,97.98,female,0,0,1
40,95.67,female,1,0,1
72,57.18,male,0,0,1
10,24.89,female,0,0,1
27,67.1,male,1,0,1
42,110.27,female,1,0,0
28,184.47,female,0,0,1
41,61.8,female,0,0,1
24,141.9,female,1,0,0
42,132.93,male,0,0,0
35,91.93,female,0,0,1
70,58.78,male,1,0,1
53,149.51,female,0,0,0
40,48.96,female,0,0,1
22,102.47,male,0,0,1
45,110.67,female,0,0,0
55,66.5,female,0,1,0
19,62.43,female,0,0,1
36,112.24,male,0,1,0
62,55.76,female,0,0,1
28,109.26,male,0,0,1
19,106.71,female,1,0,0
53,37.7,female,1,0,0
9,104.91,male,0,0,1
26,171.61,female,0,0,0
67,82.79,female,0,0,1
51,119.4,female,0,1,1
31,41.12,male,0,0,1
26,58.51,female,0,1,0
53,63.18,female,0,0,0
42,149.54,male,1,0,0
41,48.88,female,0,0,1
51,74.85,female,0,1,0
53,67.05,female,0,0,1
22,98.3,female,0,0,1
37,268.83,female,0,0,0
29,120.82,male,1,0,1
25,134.18,female,1,0,1
24,66.1,male,0,0,0
67,41.98,female,0,0,0
38,206.83,male,0,1,1
38,115.21,male,0,1,0
32,79.38,female,0,0,1
44,46.45,male,0,0,1
33,78.55,female,0,0,1
29,131.48,female,0,0,1
30,88.59,female,1,0,1
54,92.85,male,0,0,1
17,134.97,female,1,0,1
28,122.57,female,0,0,1
4,74.85,female,0,0,1
33,39.35,female,0,0,0
25,28.48,female,0,0,0
46,92.67,male,1,0,0
23,30.88,male,1,1,0
39,48.77,female,0,1,0
34,34.24,female,0,0,0
40,51.07,male,0,1,0
25,81.59,female,0,0,1
20,65.01,female,1,0,0
61,31.96,female,0,0,1
3,56.39,female,0,1,1
26,70.01,female,0,0,1
36,90.04,male,0,0,1
24,50.24,male,0,1,1
50,79.93,female,0,0,1
53,103.53,male,0,0,0
24,129.79,female,0,0,1
41,119.59,female,1,1,0
48,120.71,female,0,0,1
35,116.3,male,0,0,1
31,106.73,female,0,0,0
21,97.5,female,1,0,1
52,48.34,female,1,1,0
57,75.2,female,0,0,1
17,57.41,female,0,0,1
35,149.03,female,1,0,1
46,106.77,female,0,0,1
