customerID,nOrders,nItems,daysSinceLastOrder,margin,returnRatio,shareOwnBrand,shareVoucher,shareSale,gender,age,marginPerOrder,marginPerItem,itemsPerOrder
44,9,20,7,38.99,0,0,0.94,0.12,female,28,4.33,1.95,2.22
45,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2,4,56,34.89,0.44,0.67,0,0,female,41,17.45,8.72,2
47,9,38,254,59,0.04,0.75,0.44,0,male,46,6.56,1.55,4.22
48,13,29,9,59.49,0.25,0.83,0.58,0.17,female,42,4.58,2.05,2.23
49,3,4,200,21.11,0.44,0,0.33,1,male,56,7.04,5.28,1.33
51,6,8,21,36.53,0.33,1,0.29,0,female,37,6.09,4.57,1.33
54,15,37,42,64.32,0.27,0.58,0.19,0.42,female,37,4.29,1.74,2.47
55,3,7,6,10.22,0.44,0.33,0.83,0,male,40,3.41,1.46,2.33
56,2,4,7,49.29,0,1,0.67,0,male,37,24.64,12.32,2
57,1,2,187,16.29,1,0,0.5,0,male,53,16.29,8.14,2
58,11,18,41,38.47,0.64,0.33,0.27,0.67,male,55,3.5,2.14,1.64
59,3,10,27,28.85,0.02,0.25,1,0,female,42,9.62,2.89,3.33
60,2,2,31,11.69,1,0,0.5,0,female,25,5.84,5.84,1
61,6,6,252,33.74,0,0.6,0.6,0.2,male,53,5.62,5.62,1
63,6,8,205,38.38,0.33,0.14,0.29,0.43,female,23,6.4,4.8,1.33
64,1,1,157,29.76,1,1,0,0,female,23,29.76,29.76,1
66,2,4,63,45.94,0.11,1,1,0,female,35,22.97,11.48,2
67,14,20,25,32.84,0.22,0.24,0.59,0.35,female,41,2.35,1.64,1.43
68,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1,1,27,5.49,0,0,1,0,female,28,5.49,5.49,1
72,25,28,21,54.58,0.19,0.74,0.39,0.35,female,57,2.18,1.95,1.12
73,3,4,144,20.82,0.44,0,0.33,0.67,female,48,6.94,5.21,1.33
74,3,13,10,41.57,0.03,0.45,0.73,0.27,male,22,13.86,3.2,4.33
75,14,49,42,68.19,0.01,0.41,0.2,0.29,female,53,4.87,1.39,3.5
76,2,6,24,17.36,0.04,0,1,0,female,36,8.68,2.89,3
78,6,18,179,57.04,1,0.8,0.4,0,male,51,9.51,3.17,3
79,4,5,41,26.76,0.56,0.5,0.25,0.25,female,46,6.69,5.35,1.25
80,1,1,230,8.14,0,0,0,0,male,31,8.14,8.14,1
81,22,56,11,75.23,0,1,0.09,0.19,female,20,3.42,1.34,2.55
82,4,8,197,41.15,0.18,0,0.43,0,female,29,10.29,5.14,2
83,4,12,35,31.28,0.25,0.5,0.9,0,female,31,7.82,2.61,3
86,7,8,96,44.03,0.08,0.57,1,0,male,57,6.29,5.5,1.14
87,3,5,171,44.12,0.06,1,0.25,0,male,35,14.71,8.82,1.67
88,1,1,211,9.38,1,0,0,1,female,29,9.38,9.38,1
89,8,17,42,39.54,0.13,0,0,0.79,female,30,4.94,2.33,2.12
90,2,6,300,35.81,0.64,0.2,0.4,0,male,57,17.91,5.97,3
91,6,11,2,47.9,0.01,0.44,0.44,0,male,46,7.98,4.35,1.83
92,7,13,60,43.99,0.03,0.82,0.09,0,male,24,6.28,3.38,1.86
93,6,7,53,29.71,1,0.67,0.33,0.33,female,40,4.95,4.24,1.17
94,6,12,243,40.36,0,0,0.5,0.7,male,37,6.73,3.36,2
95,4,7,30,37.48,0.11,0,0.17,0,female,24,9.37,5.35,1.75
96,2,2,146,22.01,1,0,1,0,female,42,11.01,11.01,1
97,3,6,155,36.15,0.16,0,0.2,0.6,female,35,12.05,6.02,2
98,1,5,187,18.45,0.25,0,0.25,0,male,47,18.45,3.69,5
99,15,25,27,40.07,0.06,0.05,1,0.05,female,48,2.67,1.6,1.67
100,1,2,206,33.76,0,0,1,0,female,41,33.76,16.88,2
101,13,26,29,50.04,0.75,0.5,0.14,0.05,female,40,3.85,1.92,2
102,2,2,54,36.41,0.25,0.5,0.5,0,female,40,18.2,18.2,1
103,1,5,218,23.28,1,0,0.5,0,female,46,23.28,4.66,5
104,47,98,4,71.06,0,0.51,0.2,0.02,male,30,1.51,0.73,2.09
105,4,5,80,28.86,0.56,0.75,0.75,0.25,female,25,7.21,5.77,1.25
106,9,11,20,33.33,0.31,0,1,0,female,55,3.7,3.03,1.22
107,1,8,239,21.19,1,0,0.43,1,male,22,21.19,2.65,8
108,12,14,0,44.95,0,0,1,0,male,35,3.75,3.21,1.17
109,15,32,99,59.51,0,0.41,0.19,0.3,female,21,3.97,1.86,2.13
110,3,16,46,45.06,0.02,0.85,0.69,0,male,49,15.02,2.82,5.33
111,30,36,5,63.36,0.01,0.73,0.4,0.13,female,29,2.11,1.76,1.2
112,4,8,51,36.92,1,0.29,0.29,0.14,female,49,9.23,4.62,2
114,7,14,2,40.28,0.17,0.42,0.25,0,male,44,5.75,2.88,2
115,2,2,191,5.16,1,0,0,1,female,34,2.58,2.58,1
117,1,1,85,20.64,1,0,0,1,male,48,20.64,20.64,1
118,4,6,33,26.95,0.04,0,0,0.2,female,57,6.74,4.49,1.5
119,24,44,38,59.6,0.05,0.76,0.27,0,male,41,2.48,1.35,1.83
120,7,11,124,58.21,0.2,0.67,0.67,0,female,40,8.32,5.29,1.57
121,9,17,2,31.23,0.18,0.29,1,0.07,male,55,3.47,1.84,1.89
122,10,20,129,38.32,0.5,0.12,0.65,0.29,male,56,3.83,1.92,2
123,29,59,9,57.4,0,0,0.84,0.12,male,25,1.98,0.97,2.03
124,1,1,231,20.27,1,1,0,0,female,33,20.27,20.27,1
125,13,24,21,48.27,0.06,0,0.15,0,male,34,3.71,2.01,1.85
126,16,46,76,45.22,0,0,0.76,0.08,female,37,2.83,0.98,2.88
127,6,8,45,36.35,0.02,0.14,0.29,0,female,31,6.06,4.54,1.33
128,26,40,8,52.62,0.16,0.88,0.82,0.12,female,36,2.02,1.32,1.54
129,4,8,58,27.19,0.18,0,0,0.29,male,34,6.8,3.4,2
130,3,6,303,30.01,0.16,0,0.6,0,female,37,10,5,2
131,4,5,256,30.08,0,0,0.25,0,female,50,7.52,6.02,1.25
132,3,4,54,20,0.44,0,0.33,0.67,female,50,6.67,5,1.33
133,3,7,80,30.47,1,0,0.67,0,female,32,10.16,4.35,2.33
134,13,14,0,42.43,0.44,0.42,0.58,0,male,67,3.26,3.03,1.08
135,1,1,217,3.82,1,0,0,1,female,55,3.82,3.82,1
136,11,14,13,53.41,0.84,1,0.67,0.17,male,49,4.86,3.82,1.27
137,8,8,2,30.26,0.18,0.14,0.57,0.29,female,22,3.78,3.78,1
138,15,37,56,57.4,0.34,0.29,0.52,0.13,female,30,3.83,1.55,2.47
139,3,4,142,18.71,0.44,0,1,0,male,28,6.24,4.68,1.33
142,3,8,114,37.09,0.33,0.71,0.57,0.43,female,39,12.36,4.64,2.67
143,9,18,49,43.05,0,0.2,0,0.47,female,22,4.78,2.39,2
144,2,6,142,23.73,0.16,0,0.6,0,female,38,11.87,3.96,3
145,3,23,39,38.13,0.07,0,0.21,0,female,42,12.71,1.66,7.67
146,2,2,169,17.73,1,1,0.5,0.5,female,48,8.87,8.87,1
147,8,26,76,42.23,0.25,0.18,0.5,0,male,33,5.28,1.62,3.25
148,8,28,26,43.62,0.03,0.35,0.22,0.91,male,29,5.45,1.56,3.5
149,1,2,356,14.14,1,0,0.5,0.5,male,42,14.14,7.07,2
150,13,32,23,35.33,0.05,0.19,0.41,0,female,37,2.72,1.1,2.46
151,18,52,28,55.83,0.02,0.53,0.3,0,male,19,3.1,1.07,2.89
152,1,1,326,17.69,1,0,1,0,male,30,17.69,17.69,1
153,21,26,29,56.43,0.02,0.27,0.09,0.32,male,39,2.69,2.17,1.24
154,23,65,12,67.48,0.01,0.7,0.31,0.22,male,21,2.93,1.04,2.83
155,1,1,343,14.43,0,0,1,0,male,31,14.43,14.43,1
156,19,36,20,62.39,0.13,0.73,0.63,0.13,male,26,3.28,1.73,1.89
157,3,4,145,24.44,0.11,0.67,1,0,male,57,8.15,6.11,1.33
158,21,32,29,52.65,0.02,0.56,0.3,0.19,female,35,2.51,1.65,1.52
159,7,8,202,30.07,0.08,0,0.29,0.57,male,46,4.3,3.76,1.14
160,3,4,160,28.69,0.11,1,0,0.33,female,37,9.56,7.17,1.33
161,3,5,58,25.64,1,0.25,1,0,male,27,8.55,5.13,1.67
162,1,5,207,37.59,0,0.25,0,1,male,21,37.59,7.52,5
165,16,36,9,43.78,0.22,0.1,0.5,0.3,male,53,2.74,1.22,2.25
166,4,10,169,35.84,0.25,0.75,0.38,0,female,40,8.96,3.58,2.5
167,1,1,330,4.92,1,0,0,0,female,42,4.92,4.92,1
169,7,14,24,45.34,0.11,0.75,0.75,0,female,67,6.48,3.24,2
170,22,66,88,56.8,0.1,0.18,0.36,0.05,female,33,2.58,0.86,3
172,16,30,206,58.63,0.1,0.28,0.12,0.04,female,66,3.66,1.95,1.88
173,2,2,115,14.78,0,0,1,0.5,male,30,7.39,7.39,1
174,1,1,54,0.82,0,0,0,0,male,32,0.82,0.82,1
175,2,2,39,21.23,0.25,1,0.5,0,male,35,10.62,10.62,1
176,2,4,214,20.38,1,0,0,1,male,53,10.19,5.09,2
177,3,5,130,23.42,0.06,0,0.5,0.5,male,44,7.81,4.68,1.67
178,7,13,68,40.42,0.53,0.64,0.27,0.18,male,21,5.77,3.11,1.86
179,13,28,36,52.46,0.32,0.43,0.43,0.22,male,35,4.04,1.87,2.15
180,8,13,150,38.03,1,0.18,0.27,0.73,female,32,4.75,2.93,1.62
181,1,1,82,-15.23,1,0,1,0,female,64,-15.23,-15.23,1
182,9,32,2,58.4,0.07,0.93,0.33,0,male,52,6.49,1.82,3.56
183,9,16,32,55.88,1,0.31,0.15,0.38,male,37,6.21,3.49,1.78
184,2,4,141,24.72,0,1,0.33,0,female,45,12.36,6.18,2
185,3,4,39,24.99,0.44,0.33,0.33,0.67,male,84,8.33,6.25,1.33
186,9,35,11,50.5,0.68,0.45,0.21,0.07,female,23,5.61,1.44,3.89
187,11,22,8,50,0.15,0,0.11,0.22,male,46,4.55,2.27,2
189,8,14,145,38.74,0.34,0,0.33,0.33,male,37,4.84,2.77,1.75
190,11,13,26,47.78,0,0,0.45,0.36,male,40,4.34,3.68,1.18
191,4,18,81,46.15,0.64,0.8,0.33,0.67,female,28,11.54,2.56,4.5
192,6,16,44,33.54,0.01,0.38,0.23,0,male,36,5.59,2.1,2.67
194,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,1,7,198,31.92,0.03,0.33,0.67,1,male,47,31.92,4.56,7
196,10,13,12,43.42,0,0.09,0.45,0.36,male,50,4.34,3.34,1.3
197,2,6,63,22.5,0.04,0.4,1,0,male,42,11.25,3.75,3
198,1,1,295,11.9,1,0,1,0,male,57,11.9,11.9,1
200,1,5,33,18.87,0.06,0,1,0,male,30,18.87,3.77,5
201,3,12,20,46.69,0.16,0.8,0.5,0,male,45,15.56,3.89,4
202,23,50,52,60.72,0.01,0,0.86,0.07,male,41,2.64,1.21,2.17
203,3,18,6,38.77,0.02,0.13,0.2,0,male,30,12.92,2.15,6
204,3,5,143,26.32,0.56,0.5,0.5,0,female,42,8.77,5.26,1.67
205,15,17,14,48.37,0.18,0.5,0.21,0.43,male,54,3.22,2.85,1.13
206,3,4,17,26.58,0.11,0,1,0,female,38,8.86,6.64,1.33
207,8,10,3,46.68,0.56,0.38,0.38,0,male,51,5.84,4.67,1.25
208,9,18,33,46.7,0.44,0.67,0.2,0.67,female,45,5.19,2.59,2
209,2,4,279,17.63,0.11,0,0.33,0.67,female,48,8.81,4.41,2
210,4,10,65,30.55,0.14,0.12,1,0,female,37,7.64,3.06,2.5
211,16,36,132,43.23,0.01,0,0.63,0.13,female,22,2.7,1.2,2.25
212,2,2,70,19.26,1,0,0.5,0.5,female,43,9.63,9.63,1
213,6,13,211,39.26,0.3,0.36,0.36,0.82,male,26,6.54,3.02,2.17
214,3,6,141,23.56,0.04,0,0.6,0.6,female,41,7.85,3.93,2
215,7,26,39,39.46,0.01,0.14,0.86,0.23,male,43,5.64,1.52,3.71
216,10,32,14,51.96,0.27,0.3,0.59,0,female,55,5.2,1.62,3.2
217,2,10,247,37.86,1,0.5,0.38,0,male,48,18.93,3.79,5
218,4,8,313,41.36,0.51,0.86,0.57,0,male,62,10.34,5.17,2
219,7,11,62,24.37,0.79,0.22,0.56,0.56,male,40,3.48,2.22,1.57
220,6,7,15,31.56,0.44,0,0.67,0.5,male,37,5.26,4.51,1.17
221,15,26,10,56.44,0.03,0.86,0.14,0.05,male,33,3.76,2.17,1.73
222,9,18,31,43.25,0,0,0.2,0.07,male,38,4.81,2.4,2
223,11,19,13,44.21,0.88,0.38,0.62,0,female,40,4.02,2.33,1.73
224,32,58,12,56.73,0.04,0.38,0.29,0.12,female,30,1.77,0.98,1.81
225,8,32,70,41.37,0.35,0.04,0.74,0,female,37,5.17,1.29,4
226,4,13,95,29.67,0.13,0.09,0.55,0,female,38,7.42,2.28,3.25
227,13,25,33,64.36,0.02,1,0.57,0,female,48,4.95,2.57,1.92
229,6,6,169,35.84,0.36,0.2,1,0,male,22,5.97,5.97,1
230,3,4,41,29.75,0.11,0.67,0.33,1,female,31,9.92,7.44,1.33
231,9,10,9,54.6,0.02,0,0.25,0,male,37,6.07,5.46,1.11
232,28,55,19,50.49,0.65,0.65,0.59,0,female,34,1.8,0.92,1.96
233,3,7,62,23.27,1,0.17,1,0,male,37,7.76,3.32,2.33
234,1,4,273,19.77,1,0,0.33,0,male,30,19.77,4.94,4
235,2,2,201,40.32,0.25,0.5,0,0,female,68,20.16,20.16,1
236,1,5,126,25.01,0.06,0,0.75,0,male,51,25.01,5,5
238,10,23,11,60.1,0.54,0.47,0.58,0,female,40,6.01,2.61,2.3
239,4,5,197,37.26,0.25,0,1,0.25,male,65,9.31,7.45,1.25
240,22,48,98,53.65,0.3,0.25,0.22,0.08,female,38,2.44,1.12,2.18
241,2,4,126,5.79,1,0,0.33,1,male,21,2.9,1.45,2
243,1,2,234,20.63,1,1,0.5,0,male,51,20.63,10.31,2
244,3,5,191,16.87,1,0.5,0.25,1,male,33,5.62,3.37,1.67
245,10,14,14,58.37,0.17,0.42,0.25,0.08,female,53,5.84,4.17,1.4
246,1,1,32,16.34,1,0,0,0,female,57,16.34,16.34,1
247,7,12,19,30.61,0.25,0,0.4,0.3,female,24,4.37,2.55,1.71
248,4,14,174,29.49,0.17,0.17,0.25,0,female,59,7.37,2.11,3.5
249,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,19,40,37,55.37,0.09,0.24,0.52,0,male,39,2.91,1.38,2.11
251,2,6,279,25.15,0.16,0,0.2,0.4,male,48,12.57,4.19,3
252,1,1,249,10.7,1,0,0,1,male,25,10.7,10.7,1
253,6,7,159,18.37,0.03,0,0.5,0.33,male,26,3.06,2.62,1.17
255,1,2,313,9.87,0,0,1,0,female,29,9.87,4.93,2
256,20,36,32,49.89,0.19,0.7,0.33,0,male,41,2.49,1.39,1.8
257,11,14,58,54.26,0,0.83,0,0,male,51,4.93,3.88,1.27
258,4,6,39,39.72,0.64,0.6,0.4,0.2,male,27,9.93,6.62,1.5
259,2,5,260,31.91,0.25,1,0.5,0,female,50,15.96,6.38,2.5
261,24,44,87,61.2,0.49,0.68,0.22,0,female,51,2.55,1.39,1.83
263,3,7,305,30.1,0.25,0,0.67,0,male,66,10.03,4.3,2.33
264,4,6,131,43.79,0.16,0.4,0.2,0,male,30,10.95,7.3,1.5
265,13,62,34,57.38,0.31,0.08,0.23,0,male,47,4.41,0.93,4.77
267,2,26,13,32.18,0,0.18,0.91,0,male,52,16.09,1.24,13
268,4,11,126,28.88,0.44,0,0.56,0.22,female,35,7.22,2.63,2.75
270,15,34,2,42.71,0.08,0.18,0.61,0,male,41,2.85,1.26,2.27
274,4,6,173,22.81,0.04,0,0,0.8,female,43,5.7,3.8,1.5
275,16,28,86,58.46,0.05,0.22,0.35,0.04,female,55,3.65,2.09,1.75
276,2,2,220,18.89,0.25,0,0.5,0.5,male,74,9.45,9.45,1
277,2,2,51,40.15,1,1,1,0,male,41,20.07,20.07,1
278,4,8,284,36.89,1,0.57,0.14,0,female,33,9.22,4.61,2
279,3,11,48,26.57,0.2,0,0.44,0,male,52,8.86,2.42,3.67
280,16,26,7,43.42,0,0.32,0.59,0,male,70,2.71,1.67,1.62
283,4,8,9,44.19,0,0.57,0.43,0,male,30,11.05,5.52,2
284,1,1,194,1.89,1,0,0,1,male,35,1.89,1.89,1
285,2,6,7,34.47,0.36,0,0.6,0,female,21,17.23,5.75,3
286,3,17,25,42.13,0.05,0,0.71,0,male,34,14.04,2.48,5.67
287,2,5,249,29.9,0.25,1,0.25,0,male,21,14.95,5.98,2.5
288,1,2,194,10.76,0,0,0,1,female,50,10.76,5.38,2
289,4,12,104,46.09,0,0.7,0.1,0,male,27,11.52,3.84,3
291,4,7,8,18.74,0.69,0.33,0.67,0.17,female,29,4.68,2.68,1.75
294,1,1,183,12.08,1,0,0,1,male,46,12.08,12.08,1
295,15,22,13,68,0.11,0.94,0.11,0,female,49,4.53,3.09,1.47
297,4,20,1,31.72,0.03,0,0.71,0,female,65,7.93,1.59,5
298,3,4,234,42.06,0.44,0.67,0.33,0,female,31,14.02,10.52,1.33
299,4,5,58,15.25,0.56,0,0.5,0.5,male,50,3.81,3.05,1.25
300,2,7,170,37.17,0.69,1,0.67,0,female,67,18.59,5.31,3.5
301,3,4,23,20.93,1,0,1,0,male,26,6.98,5.23,1.33
302,10,17,84,25.96,0.86,0,0.93,0,female,65,2.6,1.53,1.7
303,6,34,130,33.91,0.02,0.04,0.79,0,female,65,5.65,1,5.67
304,4,8,92,27.17,1,0,0.14,0.14,male,40,6.79,3.4,2
306,19,42,126,49.01,0.08,0.09,0.6,0.06,female,26,2.58,1.17,2.21
307,2,5,118,25.43,0.06,0.5,0.25,0,female,30,12.71,5.09,2.5
308,1,1,360,9.92,1,0,1,0,male,21,9.92,9.92,1
309,4,7,83,28.71,0.44,0,0.33,0,female,43,7.18,4.1,1.75
310,12,28,41,54.75,0.32,0.17,0.22,0.26,male,44,4.56,1.96,2.33
311,1,2,352,17.43,1,1,0.5,0,male,70,17.43,8.71,2
312,3,4,229,22.02,0.11,0,0.67,0.33,male,59,7.34,5.5,1.33
313,2,7,68,22.66,0.03,0,0.17,0.83,female,42,11.33,3.24,3.5
314,2,2,124,8.13,0.25,0,0.5,0.5,male,32,4.07,4.07,1
316,1,1,296,11.41,1,0,1,0,male,28,11.41,11.41,1
317,3,4,199,16.89,0.11,0.33,1,0,male,33,5.63,4.22,1.33
318,11,20,7,41.67,0.01,0,0.53,0.29,female,32,3.79,2.08,1.82
319,1,2,251,25.47,0.25,0.5,0.5,0,male,38,25.47,12.73,2
320,23,50,65,60.6,0.15,0.43,0.6,0.24,female,52,2.63,1.21,2.17
321,1,5,257,28.93,0,0,0,0,male,29,28.93,5.79,5
322,7,8,225,55.34,0.18,1,0.14,0,male,22,7.91,6.92,1.14
323,9,11,14,32.63,0.11,0,0.89,0.11,male,38,3.63,2.97,1.22
324,9,16,204,43.68,0.38,0.69,0.23,0.23,female,39,4.85,2.73,1.78
325,7,14,113,30.8,0.03,0.17,0.33,0.5,male,44,4.4,2.2,2
327,1,4,37,11.55,1,0,1,0,male,53,11.55,2.89,4
328,3,5,115,34.38,0.56,0.5,0.25,0,male,24,11.46,6.88,1.67
329,16,37,38,58.97,0.1,0.55,0.32,0,female,56,3.69,1.59,2.31
330,4,8,71,35.44,0.51,0.14,0.43,0.71,male,50,8.86,4.43,2
331,3,5,117,28.5,1,0,0,0,male,43,9.5,5.7,1.67
332,19,37,7,54.03,0.01,0.32,0.42,0.19,female,37,2.84,1.46,1.95
333,1,2,227,15.48,1,0,0,0,female,42,15.48,7.74,2
334,12,38,29,52.2,1,0.03,0.09,0,female,37,4.35,1.37,3.17
335,2,4,113,28.35,1,1,0.33,0,male,27,14.18,7.09,2
336,7,54,114,58.35,0.06,0.2,0.42,0.49,male,28,8.34,1.08,7.71
338,21,40,22,50.6,0.09,0.03,0.21,0.24,male,30,2.41,1.27,1.9
339,1,1,187,12.18,1,0,0,1,male,23,12.18,12.18,1
340,14,26,8,56.12,0.13,0.5,0.68,0.18,male,47,4.01,2.16,1.86
341,25,74,6,66.81,0.04,0.69,0.13,0.27,male,30,2.67,0.9,2.96
342,11,30,2,35.6,0.19,0,0.6,0.24,male,33,3.24,1.19,2.73
343,15,42,45,41.18,0.01,0.23,0.91,0.11,male,22,2.75,0.98,2.8
344,30,59,31,60.04,0.12,0.8,0.57,0,male,37,2,1.02,1.97
345,1,1,225,11.9,1,0,1,0,male,33,11.9,11.9,1
346,7,14,96,64.1,0.25,1,0.67,0.08,female,49,9.16,4.58,2
347,13,36,39,53.91,0.07,0.17,0.63,0.2,male,45,4.15,1.5,2.77
348,2,2,41,34.26,1,1,0.5,0.5,female,33,17.13,17.13,1
349,6,7,6,39.95,0.69,1,0.33,0.33,male,36,6.66,5.71,1.17
350,21,34,48,52.82,0.15,0.46,0.43,0.14,female,33,2.52,1.55,1.62
352,6,7,20,28.07,0,0,0.5,0.5,male,30,4.68,4.01,1.17
353,1,5,205,30.14,0,0,0.25,0.75,male,18,30.14,6.03,5
354,1,2,221,21.93,0.25,0,0,1,male,31,21.93,10.96,2
355,19,26,2,39.52,0.6,0.36,0.68,0.36,female,41,2.08,1.52,1.37
356,1,1,176,18.96,1,1,1,0,male,28,18.96,18.96,1
357,2,6,198,21.08,0.04,0.2,1,0.8,male,38,10.54,3.51,3
358,16,28,54,49.85,0.61,0.83,0.57,0.13,female,30,3.12,1.78,1.75
359,18,67,3,60.76,0.2,0.57,0.29,0.09,female,37,3.38,0.91,3.72
360,4,7,127,26.22,0.11,0,0.5,0,male,46,6.55,3.75,1.75
361,9,23,76,45.61,0.4,0.21,0.58,0,female,45,5.07,1.98,2.56
363,3,6,180,24.22,0.64,0.6,0.6,0.4,male,47,8.07,4.04,2
365,8,12,42,25.02,0.36,0.2,0.6,0.4,male,62,3.13,2.08,1.5
366,4,6,199,33.88,0,0,0.6,0,female,55,8.47,5.65,1.5
367,1,2,23,27.12,1,0,0.5,0,male,40,27.12,13.56,2
368,1,6,306,36.8,0.04,0.4,0.8,0.2,male,53,36.8,6.13,6
369,38,53,40,64.04,0.87,0.77,0.23,0.07,male,52,1.69,1.21,1.39
370,11,30,65,50.17,0.13,0.52,0.56,0,female,31,4.56,1.67,2.73
372,1,1,158,1.89,1,0,1,0,female,28,1.89,1.89,1
373,19,48,0,55.72,0.42,0.05,0.28,0,female,55,2.93,1.16,2.53
374,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,8,20,69,34.12,0.42,0,0.82,0.12,female,46,4.26,1.71,2.5
376,24,26,19,52.05,0,0.18,0.36,0.18,female,30,2.17,2,1.08
377,2,4,328,21.39,0.44,0,1,0,male,49,10.7,5.35,2
378,4,8,248,31.56,0.02,1,0.43,0,male,45,7.89,3.94,2
380,1,1,113,19.03,1,0,0,0,female,62,19.03,19.03,1
382,6,6,57,41.57,0.64,0.4,1,0,male,58,6.93,6.93,1
383,2,5,180,15.85,0,0,0,0.5,female,29,7.92,3.17,2.5
385,7,13,101,47.82,0,0,0.45,0.45,female,54,6.83,3.68,1.86
388,16,40,4,62.46,0.01,0.79,0.27,0.09,female,53,3.9,1.56,2.5
389,2,4,142,40.94,1,1,0.33,0,female,49,20.47,10.23,2
390,8,14,80,44.04,0.03,0,0.5,0,female,38,5.5,3.15,1.75
391,6,10,211,40.55,0.25,0.38,0.12,0.5,female,49,6.76,4.05,1.67
392,11,23,28,48.49,0.1,0.84,0.16,0,female,57,4.41,2.11,2.09
393,1,6,86,30.1,0.16,0,0,1,male,26,30.1,5.02,6
394,2,2,43,26.05,0.25,1,0,1,male,26,13.03,13.03,1
395,1,1,173,-8.55,1,0,0,1,male,23,-8.55,-8.55,1
396,9,18,43,27.63,0.28,0.33,0.47,0.07,female,42,3.07,1.53,2
397,6,11,65,41.88,0.05,0,0.22,0,male,31,6.98,3.81,1.83
398,22,47,149,47.65,0,0.67,0.33,0.08,female,38,2.17,1.01,2.14
399,6,11,27,37.6,1,0,0.56,0,male,47,6.27,3.42,1.83
400,7,7,52,21.28,0.11,0,1,0,male,45,3.04,3.04,1
