customerID,nOrders,nItems,daysSinceLastOrder,margin,returnRatio,shareOwnBrand,shareVoucher,shareSale,gender,age,marginPerOrder,marginPerItem,itemsPerOrder,futureMargin
33,20,24,6,37.14,0.36,0,0.35,0.4,male,38,1.86,1.55,1.2,43.99
35,3,10,197,49.71,0.77,0.75,0.25,0,female,56,16.57,4.97,3.33,46.72
36,13,35,36,57.62,0.14,0.52,0.21,0.41,female,34,4.43,1.65,2.69,59.68
37,3,5,1,20.86,1,0.25,0.25,0,female,43,6.95,4.17,1.67,30.69
38,7,12,115,33.84,0.09,0.6,0.8,0,female,41,4.83,2.82,1.71,35.87
39,15,26,4,64.51,0.17,0.91,0.45,0.14,male,37,4.3,2.48,1.73,55.77
40,13,20,51,46.39,1,0.88,0.47,0.41,female,45,3.57,2.32,1.54,49.87
41,3,7,61,42.05,0.44,1,0.67,0,male,40,14.02,6.01,2.33,52.86
42,11,23,51,39.14,0.02,0,0.32,0.42,male,33,3.56,1.7,2.09,54.53
43,3,5,46,21.17,0.06,0,0.75,0.75,female,40,7.06,4.23,1.67,39.11
44,1,1,350,9.55,1,0,1,0,female,41,9.55,9.55,1,38.99
45,12,22,138,43.88,0.01,0.11,0.67,0.22,female,53,3.66,1.99,1.83,0
46,1,1,253,13.12,1,0,0,1,female,31,13.12,13.12,1,34.89
47,3,11,26,41.69,0.05,0.11,0.78,0.22,male,50,13.9,3.79,3.67,59
48,3,7,18,49.23,0.44,0.67,0.33,0.33,female,40,16.41,7.03,2.33,59.49
49,3,5,103,23.35,0.56,0,0.5,0.5,male,50,7.78,4.67,1.67,21.11
51,9,16,19,41.03,0.21,0.69,0.31,0,female,46,4.56,2.56,1.78,36.53
54,11,34,15,64.07,0.22,0.54,0.11,0.29,female,25,5.82,1.88,3.09,64.32
55,3,7,233,22.75,0.11,1,0,0.33,male,41,7.58,3.25,2.33,10.22
56,1,1,174,31.14,0,1,0,0,male,35,31.14,31.14,1,49.29
57,3,4,15,23.32,0.44,0,0.33,0.67,male,56,7.77,5.83,1.33,16.29
58,7,8,18,28.96,0.33,0,0.43,0.57,male,48,4.14,3.62,1.14,38.47
59,6,6,23,40.61,0.64,0.8,0.6,0.4,female,46,6.77,6.77,1,28.85
60,6,11,85,29.19,0.2,0,0.33,0.11,female,29,4.87,2.65,1.83,11.69
61,16,25,40,53.62,0,0.57,0.29,0.24,male,69,3.35,2.14,1.56,33.74
63,2,4,188,27.5,1,0,0.33,0.33,female,18,13.75,6.88,2,38.38
64,2,10,79,33.34,0.77,0.38,0,0,female,21,16.67,3.33,5,29.76
66,8,8,135,36.82,0.18,0.43,0.71,0.14,female,27,4.6,4.6,1,45.94
67,20,30,19,42.58,0.13,0.04,0.56,0.36,female,46,2.13,1.42,1.5,32.84
68,6,11,175,38.47,0.79,0.89,0.22,0,female,26,6.41,3.5,1.83,0
71,1,1,283,10.61,0,1,1,0,female,44,10.61,10.61,1,5.49
72,26,30,1,42.23,0.08,0.28,0.6,0.24,female,57,1.62,1.41,1.15,54.58
73,3,5,32,25.05,0.25,0,0,1,female,51,8.35,5.01,1.67,20.82
74,1,10,222,29.87,0.02,0,0,1,male,29,29.87,2.99,10,41.57
75,11,24,1,54.69,0,0.65,0.1,0.45,female,43,4.97,2.28,2.18,68.19
76,6,13,13,37.3,0.3,0.55,0.36,0.64,female,36,6.22,2.87,2.17,17.36
78,12,17,10,46.92,0.73,0.79,0.36,0.07,male,51,3.91,2.76,1.42,57.04
79,1,2,329,15.63,0.25,0,0,0,female,46,15.63,7.82,2,26.76
80,9,10,118,42.31,0.06,0,0.38,0,male,27,4.7,4.23,1.11,8.14
81,11,17,1,60.15,0,0.86,0.36,0.43,female,23,5.47,3.54,1.55,75.23
82,2,4,235,18.63,0.11,0,0,0,female,30,9.31,4.66,2,41.15
83,1,1,26,16.88,0,1,1,0,female,39,16.88,16.88,1,31.28
86,2,6,25,30.21,0.36,0.2,0.6,0,male,48,15.11,5.04,3,44.03
87,9,14,24,47.29,0.01,1,0.33,0.17,male,28,5.25,3.38,1.56,44.12
88,1,1,195,6.17,0,0,1,0,female,32,6.17,6.17,1,9.38
89,7,8,5,43.51,0.02,0,0,0.43,female,26,6.22,5.44,1.14,39.54
90,7,12,185,40.89,0,0.9,0.4,0,male,57,5.84,3.41,1.71,35.81
91,1,1,185,17.45,1,0,1,0,male,37,17.45,17.45,1,47.9
92,6,12,36,46.6,0.16,0.9,0.3,0,male,32,7.77,3.88,2,43.99
93,4,5,23,23.72,1,0,0.25,0.75,female,33,5.93,4.74,1.25,29.71
94,7,14,10,39.68,0.01,0.25,0.33,0.67,male,38,5.67,2.83,2,40.36
95,6,7,154,26.16,0.03,0.17,0.17,0.17,female,28,4.36,3.74,1.17,37.48
96,1,1,14,6.77,1,0,1,0,female,40,6.77,6.77,1,22.01
97,2,5,44,22.27,0.56,0,0.5,0.5,female,31,11.13,4.45,2.5,36.15
98,1,2,159,35.86,1,1,0.5,0,male,56,35.86,17.93,2,18.45
99,4,6,4,32.84,0.04,0,1,0,female,50,8.21,5.47,1.5,40.07
100,1,1,49,10.49,1,1,0,0,female,39,10.49,10.49,1,33.76
101,8,12,93,42.37,1,0.7,0.1,0.2,female,41,5.3,3.53,1.5,50.04
102,9,10,142,54.9,0.14,0.62,0.25,0.12,female,32,6.1,5.49,1.11,36.41
103,2,6,116,22.61,0.16,0,0.6,0,female,45,11.3,3.77,3,23.28
104,13,17,0,49.2,0.08,0.64,0.14,0.21,male,30,3.78,2.89,1.31,71.06
105,2,2,29,31.82,1,0.5,0.5,1,female,22,15.91,15.91,1,28.86
106,15,19,4,34.68,0.1,0.06,0.88,0.12,female,46,2.31,1.83,1.27,33.33
107,4,18,13,51.95,0.54,0.6,0.53,0.2,male,37,12.99,2.89,4.5,21.19
108,14,26,165,44.99,0.21,0,0.82,0.18,male,31,3.21,1.73,1.86,44.95
109,11,22,20,48.79,0.03,0.17,0.33,0.44,female,31,4.44,2.22,2,59.51
110,2,8,131,44.54,0.51,1,0.71,0.57,male,52,22.27,5.57,4,45.06
111,35,41,36,60.44,0.01,0.65,0.47,0.21,female,42,1.73,1.47,1.17,63.36
112,2,6,16,37.69,1,0.6,0.2,0.4,female,52,18.84,6.28,3,36.92
114,1,2,318,37.12,0,1,0,0,male,39,37.12,18.56,2,40.28
115,7,7,173,37.51,0.11,0.67,0.17,0,female,28,5.36,5.36,1,5.16
117,1,4,55,22.57,0.44,0,0,1,male,43,22.57,5.64,4,20.64
118,2,2,2,22.12,1,0.5,0.5,0.5,female,68,11.06,11.06,1,26.95
119,9,14,12,53.6,0.25,1,0.42,0,male,54,5.96,3.83,1.56,59.6
120,4,6,135,38.86,0.16,0.4,0.6,0.2,female,43,9.71,6.48,1.5,58.21
121,6,6,27,25.62,0.16,0,0.8,0.2,male,60,4.27,4.27,1,31.23
122,2,5,33,29.11,0.56,0.75,0.75,0,male,61,14.55,5.82,2.5,38.32
123,30,46,5,42.04,0,0,0.68,0.26,male,25,1.4,0.91,1.53,57.4
124,2,4,13,42.24,0,0.33,0.67,0,female,30,21.12,10.56,2,20.27
125,2,2,86,17.78,1,0,0.5,0,male,26,8.89,8.89,1,48.27
126,1,2,46,11.48,1,0,0.5,0,female,34,11.48,5.74,2,45.22
127,1,1,73,4.58,1,0,0,0,female,34,4.58,4.58,1,36.35
128,12,23,145,44.66,0.4,0.95,0.68,0.21,female,33,3.72,1.94,1.92,52.62
129,4,5,45,35.71,1,0,0.25,1,male,28,8.93,7.14,1.25,27.19
130,2,2,148,18.49,0.25,0,1,0,female,34,9.24,9.24,1,30.01
131,24,38,28,59.05,0.02,0,0.56,0.34,female,45,2.46,1.55,1.58,30.08
132,6,7,4,30.15,0.03,0,0.5,0.83,female,64,5.02,4.31,1.17,20
133,1,1,249,9.47,0,0,0,1,female,27,9.47,9.47,1,30.47
134,3,4,150,26.39,1,0.33,0.67,0,male,78,8.8,6.6,1.33,42.43
135,1,1,269,6.46,1,0,0,1,female,57,6.46,6.46,1,3.82
136,22,30,15,53.42,0.27,0.96,0.56,0.2,male,44,2.43,1.78,1.36,53.41
137,2,2,144,15.48,0,0,1,0,female,34,7.74,7.74,1,30.26
138,11,30,81,43.87,0.16,0.28,0.56,0.04,female,47,3.99,1.46,2.73,57.4
139,3,4,278,21.57,0.11,0,1,0,male,18,7.19,5.39,1.33,18.71
142,1,2,138,3.67,0.25,0,1,1,female,33,3.67,1.84,2,37.09
143,2,2,296,39.85,0,0,0,0.5,female,23,19.93,19.93,1,43.05
144,16,34,34,46.04,0.05,0.32,0.11,0.43,female,40,2.88,1.35,2.12,23.73
145,4,13,10,45.52,0.03,0.09,0.27,0.09,female,42,11.38,3.5,3.25,38.13
146,2,2,268,16.45,1,0,0.5,0.5,female,38,8.22,8.22,1,17.73
147,7,17,19,43.39,0.05,0.36,0.14,0,male,35,6.2,2.55,2.43,42.23
148,11,23,32,45.67,0.02,0.21,0.21,0.63,male,31,4.15,1.99,2.09,43.62
149,2,2,207,21.52,0.25,0.5,0.5,1,male,31,10.76,10.76,1,14.14
150,16,26,25,53.15,0.02,0.18,0.18,0.23,female,40,3.32,2.04,1.62,35.33
151,1,4,49,41.57,0.44,1,0,0,male,37,41.57,10.39,4,55.83
152,1,1,165,10.53,1,0,1,1,male,28,10.53,10.53,1,17.69
153,9,11,8,41.74,0.05,0,0.22,0.33,male,33,4.64,3.79,1.22,56.43
154,9,12,42,51.54,0.09,0.5,0.3,0.3,male,18,5.73,4.29,1.33,67.48
155,1,1,218,1.98,1,0,0,1,male,33,1.98,1.98,1,14.43
156,24,36,44,58.55,0.09,0.8,0.4,0.43,male,32,2.44,1.63,1.5,62.39
157,2,2,90,19.46,0.25,0,1,0,male,44,9.73,9.73,1,24.44
158,10,12,32,40.05,0.25,0.5,0.4,0.3,female,27,4,3.34,1.2,52.65
159,6,8,194,19.49,0.33,0,0.43,0.71,male,46,3.25,2.44,1.33,30.07
160,1,1,11,20.1,0,1,0,0,female,29,20.1,20.1,1,28.69
161,4,5,37,22.06,0.06,0,0.5,0.25,male,36,5.51,4.41,1.25,25.64
162,3,7,49,32.85,0.03,0,0.33,0,male,18,10.95,4.69,2.33,37.59
165,6,7,46,23.31,0.69,0,0.33,0.67,male,44,3.88,3.33,1.17,43.78
166,4,10,134,39.62,0.25,0.5,0.25,0,female,43,9.9,3.96,2.5,35.84
167,6,11,0,26.95,0.11,0.67,0.33,0,female,31,4.49,2.45,1.83,4.92
169,1,1,50,13.38,1,0,1,0,female,60,13.38,13.38,1,45.34
170,2,5,347,22.82,0,0,0,0,female,32,11.41,4.56,2.5,56.8
172,15,29,72,54.94,0.09,0.33,0.25,0.08,female,68,3.66,1.89,1.93,58.63
173,1,2,203,8.93,0,0,1,0,male,25,8.93,4.46,2,14.78
174,1,1,197,38.45,0,1,0,0,male,42,38.45,38.45,1,0.82
175,3,5,50,14.53,1,0,0.25,0,male,36,4.84,2.91,1.67,21.23
176,3,4,90,34.08,0.44,0.67,0.33,0.67,male,56,11.36,8.52,1.33,20.38
177,7,14,66,38.44,0.44,0.17,0.42,0.5,male,31,5.49,2.75,2,23.42
178,2,2,127,24.18,0.25,0.5,0,0,male,19,12.09,12.09,1,40.42
179,18,31,49,51.54,0.65,0.38,0.12,0.62,male,19,2.86,1.66,1.72,52.46
180,8,13,11,50.47,0.83,0.36,0.36,0.27,female,29,6.31,3.88,1.62,38.03
181,2,2,145,24.88,0.25,0.5,1,0.5,female,70,12.44,12.44,1,-15.23
182,7,12,8,58.96,0.36,0.8,0.3,0,male,45,8.42,4.91,1.71,58.4
183,7,16,5,45.95,0.48,0.54,0.15,0,male,40,6.56,2.87,2.29,55.88
184,2,7,100,36.86,0.03,0.83,0,1,female,43,18.43,5.27,3.5,24.72
185,3,5,98,37.14,0.25,0.5,0.5,0.75,male,79,12.38,7.43,1.67,24.99
186,8,16,30,47.42,0.48,0.69,0.15,0,female,20,5.93,2.96,2,50.5
187,7,7,5,26.3,0.11,0,0.67,0,male,36,3.76,3.76,1,50
189,6,6,140,22.39,0.36,0,1,0.2,male,43,3.73,3.73,1,38.74
190,11,13,31,38.81,0.21,0,0.09,0.73,male,39,3.53,2.99,1.18,47.78
191,4,11,105,43.76,0.6,0.56,0.22,0.22,female,28,10.94,3.98,2.75,46.15
192,1,1,59,19.95,1,0,0,0,male,36,19.95,19.95,1,33.54
194,4,16,287,40.95,0.02,1,0.69,0,male,44,10.24,2.56,4,0
195,2,5,29,24.31,0.56,0.25,1,0,male,38,12.15,4.86,2.5,31.92
196,8,16,0,32.4,0.02,0,0.23,0.62,male,55,4.05,2.02,2,43.42
197,1,1,295,11.1,1,0,1,0,male,39,11.1,11.1,1,22.5
198,2,2,25,23.14,1,0,1,0,male,60,11.57,11.57,1,11.9
200,3,6,65,30.13,0.36,0.2,0.4,0,male,26,10.04,5.02,2,18.87
201,7,14,46,43.35,0.17,0,0.08,0.33,male,39,6.19,3.1,2,46.69
202,14,36,92,50.01,0,0,0.83,0.13,male,31,3.57,1.39,2.57,60.72
203,4,25,160,52.16,0.02,0.05,0.62,0,male,44,13.04,2.09,6.25,38.77
204,7,8,9,35.51,1,0.43,0.14,0.14,female,42,5.07,4.44,1.14,26.32
205,13,17,29,50.55,0.05,0.14,0.29,0.21,male,53,3.89,2.97,1.31,48.37
206,1,1,224,19.11,1,0,1,0,female,28,19.11,19.11,1,26.58
207,7,10,27,44.75,0.77,0.25,0.12,0,male,55,6.39,4.47,1.43,46.68
208,10,16,49,32.29,0.21,0.85,0.08,0.92,female,49,3.23,2.02,1.6,46.7
209,7,10,19,42.64,0.14,0.12,0.38,0.5,female,54,6.09,4.26,1.43,17.63
210,3,6,162,25.23,0.04,0.2,1,0,female,44,8.41,4.21,2,30.55
211,4,8,7,30.16,0,0,1,0,female,33,7.54,3.77,2,43.23
212,1,2,40,9.84,0,0,0,1,female,49,9.84,4.92,2,19.26
213,2,2,196,29.32,1,1,0,1,male,28,14.66,14.66,1,39.26
214,4,5,197,27.58,0.56,0.25,0.5,0.5,female,42,6.89,5.52,1.25,23.56
215,1,2,50,25.48,1,0.5,0.5,1,male,37,25.48,12.74,2,39.46
216,10,40,55,44.48,0.72,0.03,0.09,0,female,58,4.45,1.11,4,51.96
217,6,18,86,48.33,0.54,0.4,0.2,0,male,47,8.05,2.68,3,37.86
218,7,11,47,44.43,0.79,0.89,0.11,0,male,49,6.35,4.04,1.57,41.36
219,6,7,29,31.91,1,0,0.67,0.33,male,43,5.32,4.56,1.17,24.37
220,2,5,45,19.36,0.06,0,0.5,0.25,male,37,9.68,3.87,2.5,31.56
221,1,1,201,34.34,0,1,0,1,male,29,34.34,34.34,1,56.44
222,1,1,13,18.24,0,0,1,0,male,35,18.24,18.24,1,43.25
223,15,18,14,39.86,0.87,0.2,0.6,0.07,female,43,2.66,2.21,1.2,44.21
224,25,41,20,51.24,0.07,0.44,0.32,0.32,female,24,2.05,1.25,1.64,56.73
225,6,26,11,40.7,0.17,0,0.59,0.36,female,30,6.78,1.57,4.33,41.37
226,7,18,9,34.5,0,0.13,0.73,0,female,35,4.93,1.92,2.57,29.67
227,10,17,16,57.32,0.25,0.64,0.07,0,female,52,5.73,3.37,1.7,64.36
229,6,6,86,31.4,0.36,0.2,0.6,0,male,33,5.23,5.23,1,35.84
230,2,2,52,36.65,0.25,1,0,1,female,28,18.32,18.32,1,29.75
231,9,18,23,43.76,0.07,0.8,0.07,0,male,35,4.86,2.43,2,54.6
232,12,24,22,46.58,0.64,0.8,0.5,0,female,45,3.88,1.94,2,50.49
233,8,8,64,35.2,0.18,0.14,1,0,male,46,4.4,4.4,1,23.27
234,1,1,137,11.9,1,0,0,0,male,29,11.9,11.9,1,19.77
235,1,1,326,32.77,1,1,0,0,female,55,32.77,32.77,1,40.32
236,1,1,215,8.3,0,0,0,1,male,52,8.3,8.3,1,25.01
238,7,17,11,51.59,0.62,0.86,0.21,0,female,43,7.37,3.03,2.43,60.1
239,9,10,31,38.55,0.56,0,0.12,0.5,male,68,4.28,3.85,1.11,37.26
240,9,20,2,60.62,0.17,0.82,0.29,0,female,49,6.74,3.03,2.22,53.65
241,2,2,13,22,1,0,1,0,male,21,11,11,1,5.79
243,6,7,164,30.4,0.44,0.67,0.67,0.17,male,62,5.07,4.34,1.17,20.63
244,4,7,146,20.22,1,0.17,0,0.83,male,20,5.05,2.89,1.75,16.87
245,16,18,43,45.03,0.16,0.4,0.6,0.07,female,57,2.81,2.5,1.12,58.37
246,1,5,202,31.23,0.25,1,0.5,0,female,56,31.23,6.25,5,16.34
247,6,7,45,24.56,0.44,0,0.33,0.67,female,40,4.09,3.51,1.17,30.61
248,3,10,118,44.07,0.14,0,0.38,0,female,64,14.69,4.41,3.33,29.49
249,1,2,218,8.59,1,0,0,1,female,51,8.59,4.29,2,0
250,10,19,31,40.95,0.19,0.38,0.38,0,male,40,4.1,2.16,1.9,55.37
251,3,5,217,21.22,0.06,0,0.5,0.25,male,57,7.07,4.24,1.67,25.15
252,3,5,204,22.24,0.06,0,0,0,male,38,7.41,4.45,1.67,10.7
253,4,5,65,19.69,0.25,0,0.75,0,male,37,4.92,3.94,1.25,18.37
255,6,7,55,26.36,0,0,0,0,female,36,4.39,3.77,1.17,9.87
256,8,14,23,52.92,0.11,0.83,0.17,0.17,male,50,6.62,3.78,1.75,49.89
257,9,10,14,51.62,0.06,0.75,0,0.12,male,48,5.74,5.16,1.11,54.26
258,8,10,1,51.61,0.56,0.88,0.25,0.5,male,36,6.45,5.16,1.25,39.72
259,1,5,110,26.76,1,1,0.5,0,female,47,26.76,5.35,5,31.91
261,4,5,72,40.51,0.25,1,0,0,female,48,10.13,8.1,1.25,61.2
263,4,28,16,50.99,0.03,0.04,0.35,0.3,male,66,12.75,1.82,7,30.1
264,3,6,277,35.09,0.16,0.2,0.2,0.2,male,37,11.7,5.85,2,43.79
265,1,7,90,26.69,0.44,0,0,0,male,30,26.69,3.81,7,57.38
267,8,28,190,52.87,0.19,0.3,0.87,0.13,male,47,6.61,1.89,3.5,32.18
268,4,7,92,27.43,0.25,0,0.83,0.17,female,38,6.86,3.92,1.75,28.88
270,13,23,12,49.88,0.14,0.16,0.26,0.11,male,41,3.84,2.17,1.77,42.71
274,2,2,190,6.07,0.25,0,0.5,0.5,female,48,3.04,3.04,1,22.81
275,9,13,41,41.6,0.13,0.18,0.27,0,female,57,4.62,3.2,1.44,58.46
276,1,1,269,22.4,1,0,0,0,male,71,22.4,22.4,1,18.89
277,1,2,58,21.45,1,1,0.5,0,male,44,21.45,10.72,2,40.15
278,6,22,86,49.61,0.31,0.17,0.06,0.17,female,37,8.27,2.25,3.67,36.89
279,1,2,249,17.36,1,0,0,0,male,54,17.36,8.68,2,26.57
280,6,6,203,26.43,0,0.2,0.6,0,male,61,4.41,4.41,1,43.42
283,2,2,275,31.36,0,1,0.5,0,male,34,15.68,15.68,1,44.19
284,1,4,339,20.77,1,0,0.67,0,male,21,20.77,5.19,4,1.89
285,4,6,12,38.3,0.16,0.8,0.8,0,female,29,9.57,6.38,1.5,34.47
286,2,5,24,22.17,0.06,0,0.5,0.25,male,44,11.09,4.43,2.5,42.13
287,4,7,69,31.27,0.25,0.5,0.5,0.83,male,18,7.82,4.47,1.75,29.9
288,4,7,17,36.82,0.69,0.33,0.17,0.17,female,53,9.21,5.26,1.75,10.76
289,4,13,20,38.89,0,0.36,0.09,0.09,male,21,9.72,2.99,3.25,46.09
291,2,4,15,20.84,1,0,0.67,0,female,18,10.42,5.21,2,18.74
294,6,8,52,22.4,0.51,0.29,0.57,0.29,male,41,3.73,2.8,1.33,12.08
295,4,6,207,32.73,0.16,1,0.8,0,female,54,8.18,5.45,1.5,68
297,1,2,260,12.99,0.25,0,0,1,female,51,12.99,6.5,2,31.72
298,3,5,232,35.21,0.25,1,0,0,female,37,11.74,7.04,1.67,42.06
299,7,7,52,30.73,0.44,0.33,0.17,0.67,male,43,4.39,4.39,1,15.25
300,1,4,292,30.65,0.44,0.33,0.33,0,female,70,30.65,7.66,4,37.17
301,1,1,225,19.58,1,1,0,1,male,30,19.58,19.58,1,20.93
302,11,16,77,31.3,0.85,0.23,0.92,0,female,62,2.85,1.96,1.45,25.96
303,2,2,70,24.67,0,1,1,0,female,58,12.34,12.34,1,33.91
304,4,7,109,38.88,0.25,0,0.17,0.33,male,50,9.72,5.55,1.75,27.17
306,15,24,17,37.66,0.04,0.05,0.6,0.25,female,49,2.51,1.57,1.6,49.01
307,10,17,22,41.13,0.08,0.43,0.36,0.21,female,26,4.11,2.42,1.7,25.43
308,1,1,301,3.08,1,1,0,0,male,31,3.08,3.08,1,9.92
309,3,4,107,32.09,1,0.67,0,0.33,female,49,10.7,8.02,1.33,28.71
310,3,10,74,45.49,0.39,0.12,0,0.75,male,39,15.16,4.55,3.33,54.75
311,7,11,52,39.16,0.31,0.56,0.22,0.22,male,76,5.59,3.56,1.57,17.43
312,3,4,60,27.89,0.44,0.33,0.33,0.33,male,58,9.3,6.97,1.33,22.02
313,3,8,134,29.61,0.08,0,0.57,0.71,female,44,9.87,3.7,2.67,22.66
314,3,4,54,31.61,0.11,0,0.33,0.67,male,30,10.54,7.9,1.33,8.13
316,3,5,16,28.37,1,0,0.5,0.25,male,30,9.46,5.67,1.67,11.41
317,8,13,14,48.88,0.03,0.73,0.64,0,male,35,6.11,3.76,1.62,16.89
318,11,20,44,44.68,0.06,0,0.59,0,female,24,4.06,2.23,1.82,41.67
319,1,5,360,19.8,0.25,0,0,0,male,60,19.8,3.96,5,25.47
320,28,38,38,49.54,0.35,0.28,0.53,0.41,female,50,1.77,1.3,1.36,60.6
321,8,16,101,46.16,0.15,0.23,0.15,0.31,male,24,5.77,2.88,2,28.93
322,10,14,1,62.35,0.01,0.5,0.33,0.17,male,25,6.24,4.45,1.4,55.34
323,12,13,122,42.54,0.07,0.09,0.45,0.18,male,36,3.54,3.27,1.08,32.63
324,10,17,40,50.23,0.73,0.5,0.21,0,female,42,5.02,2.95,1.7,43.68
325,8,11,14,29.26,0.01,0.44,0.78,0.22,male,40,3.66,2.66,1.38,30.8
327,1,4,18,22.72,1,0.67,0.67,0,male,66,22.72,5.68,4,11.55
328,2,2,91,35.99,1,1,0,0,male,28,18,18,1,34.38
329,18,40,6,58.89,0.02,0.7,0.03,0,female,47,3.27,1.47,2.22,58.97
330,2,4,99,15.43,1,0,0,1,male,55,7.71,3.86,2,35.44
331,2,2,56,20.04,1,0,0,0,male,35,10.02,10.02,1,28.5
332,31,70,25,52.45,0.04,0.02,0.21,0.12,female,32,1.69,0.75,2.26,54.03
333,3,7,56,39.87,0.11,0.33,0.33,0,female,43,13.29,5.7,2.33,15.48
334,25,44,18,55.38,0.89,0.22,0.08,0,female,39,2.22,1.26,1.76,52.2
335,11,23,24,49.95,0.8,0.42,0.21,0.32,male,25,4.54,2.17,2.09,28.35
336,4,26,95,34.96,0.03,0,0.14,0.68,male,32,8.74,1.34,6.5,58.35
338,6,6,43,41.31,0.16,0,0,0.6,male,27,6.89,6.89,1,50.6
339,1,1,337,12.74,1,0,0,0,male,24,12.74,12.74,1,12.18
340,7,10,20,36.93,0.02,0.38,0.5,0.12,male,48,5.28,3.69,1.43,56.12
341,7,13,21,46.64,0.3,1,0.09,0.45,male,28,6.66,3.59,1.86,66.81
342,8,17,128,34.12,0.13,0,0.79,0.21,male,34,4.26,2.01,2.12,35.6
343,1,1,303,5.75,1,0,1,0,male,31,5.75,5.75,1,41.18
344,20,32,2,46.78,0.14,0.52,0.56,0.15,male,28,2.34,1.46,1.6,60.04
345,1,1,226,8.26,1,1,0,0,male,33,8.26,8.26,1,11.9
346,6,8,29,53.32,0.18,0.86,0.14,0.71,female,51,8.89,6.66,1.33,64.1
347,4,7,134,33.99,0.44,0.33,0.5,0.67,male,31,8.5,4.86,1.75,53.91
348,3,4,23,39.87,1,0.33,0.33,0.67,female,29,13.29,9.97,1.33,34.26
349,3,5,77,41.04,0.56,0.75,0.5,0,male,44,13.68,8.21,1.67,39.95
350,13,17,5,50.27,0.73,0.43,0.36,0.21,female,32,3.87,2.96,1.31,52.82
352,6,8,11,22.5,1,0,0.71,0.71,male,28,3.75,2.81,1.33,28.07
353,1,7,3,28.31,0,0.33,0.5,0,male,21,28.31,4.04,7,30.14
354,2,2,180,-4.1,0.25,0,0.5,1,male,26,-2.05,-2.05,1,21.93
355,6,10,70,23.73,1,0,0.38,0.62,female,37,3.96,2.37,1.67,39.52
356,2,2,319,20.26,1,0,0.5,0,male,33,10.13,10.13,1,18.96
357,1,5,48,27.98,0,0,0.25,0.75,male,33,27.98,5.6,5,21.08
358,3,5,2,33.02,1,0.75,0.5,0,female,41,11.01,6.6,1.67,49.85
359,6,14,68,42.92,0.44,0.67,0.5,0.17,female,37,7.15,3.07,2.33,60.76
360,4,8,49,37.33,0.02,0,0.14,0.14,male,55,9.33,4.67,2,26.22
